Control Framework,Control Short Name,Control Long Name,Control Description,Supplemental Guidance,Control Number,Control Family,Control Class,Control Priority
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 3.5.2,PCI Data Security Standard v3.2.1 - 3.5.2,Restrict access to cryptographic keys to the fewest number of custodians necessary.,"There should be very few who have access to cryptographic keys (reducing the potential for rending cardholder data visible by unauthorized parties), usually only those who have key custodian responsibilities.",3.5.2,Protect Cardholder Data,Requirement 3: Protect stored cardholder data,5 - Protect stored cardholder data
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 3.5.3,PCI Data Security Standard v3.2.1 - 3.5.3,"Store secret and private keys used to encrypt/decrypt cardholder data in one (or more) of the following forms at all times:
•  Encrypted with a key-encrypting key that is at least as strong as the data-encrypting key, and that is stored separately from the data-encrypting key
•  Within a secure cryptographic device (such as a hardware (host) security module (HSM) or PTS-approved point-of-interaction device)
•  As at least two full-length key components or key shares, in accordance with an industry-accepted method

Note: It is not required that public keys be stored in one of these forms.","Cryptographic keys must be stored securely to prevent unauthorized or unnecessary access that could result in the exposure of cardholder data.

It is not intended that the key-encrypting keys be encrypted, however they are to be protected against disclosure and misuse as defined in Requirement 3.5. If key-encrypting keys are used, storing the key-encrypting keys in physically and/or logically separate locations from the dataencrypting keys reduces the risk of unauthorized access to both keys.",3.5.3,Protect Cardholder Data,Requirement 3: Protect stored cardholder data,5 - Protect stored cardholder data
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 3.5.4,PCI Data Security Standard v3.2.1 - 3.5.4,Store cryptographic keys in the fewest possible locations.,"Storing cryptographic keys in the fewest locations helps an organization to keep track and monitor all key locations, and minimizes the potential for keys to be exposed to unauthorized parties.",3.5.4,Protect Cardholder Data,Requirement 3: Protect stored cardholder data,5 - Protect stored cardholder data
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 3.6,PCI Data Security Standard v3.2.1 - 3.6,"Fully document and implement all key-management processes and procedures for cryptographic keys used for encryption of cardholder data, including the following:

Note: Numerous industry standards for key management are available from various resources including NIST, which can be found at http://csrc.nist.gov.","The manner in which cryptographic keys are managed is a critical part of the continued security of the encryption solution. A good keymanagement process, whether it is manual or automated as part of the encryption product, is based on industry standards and addresses all key elements at 3.6.1 through 3.6.8.

Providing guidance to customers on how to securely transmit, store and update cryptographic keys can help prevent keys from being mismanaged or disclosed to unauthorized entities.

This requirement applies to keys used to encrypt stored cardholder data, and any respective keyencrypting keys.",3.6,Protect Cardholder Data,Requirement 3: Protect stored cardholder data,
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 3.6.1,PCI Data Security Standard v3.2.1 - 3.6.1,Generation of strong cryptographic keys,"The encryption solution must generate strong keys, as defined in the PCI DSS and PA-DSS Glossary of Terms, Abbreviations, and Acronyms under ""Cryptographic Key Generation."" Use of strong cryptographic keys significantly increases the level of security of encrypted cardholder data.",3.6.1,Protect Cardholder Data,Requirement 3: Protect stored cardholder data,5 - Protect stored cardholder data
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 3.6.2,PCI Data Security Standard v3.2.1 - 3.6.2,Secure cryptographic key distribution,"The encryption solution must distribute keys securely, meaning the keys are distributed only to custodians identified in Requirement 3.5.2, and are never distributed in the clear.",3.6.2,Protect Cardholder Data,Requirement 3: Protect stored cardholder data,5 - Protect stored cardholder data
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 3.6.3,PCI Data Security Standard v3.2.1 - 3.6.3,Secure cryptographic key storage,"The encryption solution must store keys securely, for example, by encrypting them with a keyencrypting key. Storing keys without proper protection could provide access to attackers, resulting in the decryption and exposure of cardholder data.",3.6.3,Protect Cardholder Data,Requirement 3: Protect stored cardholder data,5 - Protect stored cardholder data
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 3.6.4,PCI Data Security Standard v3.2.1 - 3.6.4,"Cryptographic key changes for keys that have reached the end of their cryptoperiod (for example, after a defined period of time has passed and/or after a certain amount of cipher-text has been produced by a given key), as defined by the associated application vendor or key owner, and based on industry best practices and guidelines (for example, NIST Special Publication 800-57).","A cryptoperiod is the time span during which a particular cryptographic key can be used for its defined purpose. Considerations for defining the cryptoperiod include, but are not limited to, the strength of the underlying algorithm, size or length of the key, risk of key compromise, and the sensitivity of the data being encrypted.

Periodic changing of encryption keys when the keys have reached the end of their cryptoperiod is imperative to minimize the risk of someone’s obtaining the encryption keys, and using them to decrypt data.",3.6.4,Protect Cardholder Data,Requirement 3: Protect stored cardholder data,5 - Protect stored cardholder data
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 3.6.5,PCI Data Security Standard v3.2.1 - 3.6.5,"Retirement or replacement (for example, archiving, destruction, and/or revocation) of keys as deemed necessary when the integrity of the key has been weakened (for example, departure of an employee with knowledge of a clear-text key component), or keys are suspected of being compromised.

Note: If retired or replaced cryptographic keys need to be retained, these keys must be securely archived (for example, by using a key-encryption key). Archived cryptographic keys should only be used for decryption/verification purposes.","Keys that are no longer used or needed, or keys that are known or suspected to be compromised, should be revoked and/or destroyed to ensure that the keys can no longer be used. If such keys need to be kept (for example, to support archived, encrypted data) they should be strongly protected.

The encryption solution should provide for and facilitate a process to replace keys that are due for replacement or that are known to be, or suspected of being, compromised.",3.6.5,Protect Cardholder Data,Requirement 3: Protect stored cardholder data,5 - Protect stored cardholder data
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 3.6.6,PCI Data Security Standard v3.2.1 - 3.6.6,"If manual clear-text cryptographic key-management operations are used, these operations must be managed using split knowledge and dual control.

Note: Examples of manual key-management operations include, but are not limited to: key generation, transmission, loading, storage and destruction.","Split knowledge and dual control of keys are used to eliminate the possibility of one person having access to the whole key. This control is applicable for manual key-management operations, or where key management is not implemented by the encryption product.

Split knowledge is a method in which two or more people separately have key components, where each person knows only their own key component, and the individual key components convey no knowledge of the original cryptographic key.

Dual control requires two or more people to perform a function, and no single person can access or use the authentication materials of another.",3.6.6,Protect Cardholder Data,Requirement 3: Protect stored cardholder data,5 - Protect stored cardholder data
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 3.6.7,PCI Data Security Standard v3.2.1 - 3.6.7,Prevention of unauthorized substitution of cryptographic keys.,The encryption solution should not allow for or accept substitution of keys coming from unauthorized sources or unexpected processes.,3.6.7,Protect Cardholder Data,Requirement 3: Protect stored cardholder data,5 - Protect stored cardholder data
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 3.6.8,PCI Data Security Standard v3.2.1 - 3.6.8,Requirement for cryptographic key custodians to formally acknowledge that they understand and accept their key-custodian responsibilities.,This process will help ensure individuals that act as key custodians commit to the key-custodian role and understand and accept the responsibilities.,3.6.8,Protect Cardholder Data,Requirement 3: Protect stored cardholder data,5 - Protect stored cardholder data
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 3.7,PCI Data Security Standard v3.2.1 - 3.7,"Ensure that security policies and operational procedures for protecting stored cardholder data are documented, in use, and known to all affected parties.",Personnel need to be aware of and following security policies and documented operational procedures for managing the secure storage of cardholder data on a continuous basis.,3.7,Protect Cardholder Data,Requirement 3: Protect stored cardholder data,5 - Protect stored cardholder data
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 4.1,PCI Data Security Standard v3.2.1 - 4.1,"Use strong cryptography and security protocols to safeguard sensitive cardholder data during transmission over open, public networks, including the following:
•  Only trusted keys and certificates are accepted.
•  The protocol in use only supports secure versions or configurations.
•  The encryption strength is appropriate for the encryption methodology in use.

Examples of open, public networks include but are not limited to:
•  The Internet
•  Wireless technologies, including 802.11 and Bluetooth
•  Cellular technologies, for example, Global System for Mobile communications (GSM), Code division multiple access (CDMA)
•   General Packet Radio Service (GPRS).
•  Satellite communications.","Sensitive information must be encrypted during transmission over public networks, because it is easy and common for a malicious individual to intercept and/or divert data while in transit.

Secure transmission of cardholder data requires using trusted keys/certificates, a secure protocol for transport, and proper encryption strength to encrypt cardholder data. Connection requests from systems that do not support the required encryption strength, and that would result in an insecure connection, should not be accepted.

Note that some protocol implementations (such as SSL, SSH v1.0, and early TLS) have known vulnerabilities that an attacker can use to gain control of the affected system. Whichever security protocol is used, ensure it is configured to use only secure versions and configurations to prevent use of an insecure connection—for example, by using only trusted certificates and supporting only strong encryption (not supporting weaker, insecure protocols or methods).

Verifying that certificates are trusted (for example, have not expired and are issued from a trusted source) helps ensure the integrity of the secure connection.

Generally, the web page URL should begin with
""HTTPS"" and/or the web browser display a
padlock icon somewhere in the window of the
browser. Many TLS certificate vendors also
provide a highly visible verification seal—
sometimes referred to as a “security seal,”
""secure site seal,"" or “secure trust seal”)—which
may provide the ability to click on the seal to
reveal information about the website.

Refer to industry standards and best practices for
information on strong cryptography and secure
protocols (e.g., NIST SP 800-52 and SP 800-57,
OWASP, etc.)",4.1,Protect Cardholder Data,"Requirement 4: Encrypt transmission of cardholder data across open, public networks","2 - Protect systems and networks, and be prepared to respond to a system breach"
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 4.1.1,PCI Data Security Standard v3.2.1 - 4.1.1,"Ensure wireless networks transmitting cardholder data or connected to the cardholder data environment, use industry best practices to implement strong encryption for authentication and transmission.","Malicious users use free and widely available tools to eavesdrop on wireless communications. Use of strong cryptography can help limit disclosure of sensitive information across wireless networks.

Strong cryptography for authentication and transmission of cardholder data is required to prevent malicious users from gaining access to the wireless network or utilizing wireless networks to access other internal networks or data.",4.1.1,Protect Cardholder Data,"Requirement 4: Encrypt transmission of cardholder data across open, public networks","2 - Protect systems and networks, and be prepared to respond to a system breach"
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 4.2,PCI Data Security Standard v3.2.1 - 4.2,"Never send unprotected PANs by end-user messaging technologies (for example, e-mail, instant messaging, SMS, chat, etc.).","E-mail, instant messaging, SMS, and chat can be easily intercepted by packet-sniffing during delivery across internal and public networks. Do not utilize these messaging tools to send PAN unless they are configured to provide strong encryption.

Additionally, if an entity requests PAN via enduser messaging technologies, the entity should provide a tool or method to protect these PANs using strong cryptography or render PANs unreadable before transmission.",4.2,Protect Cardholder Data,"Requirement 4: Encrypt transmission of cardholder data across open, public networks","2 - Protect systems and networks, and be prepared to respond to a system breach"
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 4.3,PCI Data Security Standard v3.2.1 - 4.3,"Ensure that security policies and operational procedures for encrypting transmissions of cardholder data are documented, in use, and known to all affected parties.",Personnel need to be aware of and following security policies and operational procedures for managing the secure transmission of cardholder data on a continuous basis.,4.3,Protect Cardholder Data,"Requirement 4: Encrypt transmission of cardholder data across open, public networks","2 - Protect systems and networks, and be prepared to respond to a system breach"
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 5.1,PCI Data Security Standard v3.2.1 - 5.1,Deploy anti-virus software on all systems commonly affected by malicious software (particularly personal computers and servers).,"There is a constant stream of attacks using widely published exploits, often called ""zero day"" (an attack that exploits a previously unknown vulnerability), against otherwise secured systems. Without an anti-virus solution that is updated regularly, these new forms of malicious software can attack systems, disable a network, or lead to compromise of data.",5.1,Maintain a Vulnerability Management Program,Requirement 5: Protect all systems against malware and regularly update anti-virus software or programs,"2 - Protect systems and networks, and be prepared to respond to a system breach"
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 5.1.1,PCI Data Security Standard v3.2.1 - 5.1.1,"Ensure that anti-virus programs are capable of detecting, removing, and protecting against all known types of malicious software.",It is important to protect against ALL types and forms of malicious software.,5.1.1,Maintain a Vulnerability Management Program,Requirement 5: Protect all systems against malware and regularly update anti-virus software or programs,"2 - Protect systems and networks, and be prepared to respond to a system breach"
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 5.1.2,PCI Data Security Standard v3.2.1 - 5.1.2,"For systems considered to be not commonly affected by malicious software, perform periodic evaluations to identify and evaluate evolving malware threats in order to confirm whether such systems continue to not require anti-virus software.","Typically, mainframes, mid-range computers (such as AS/400) and similar systems may not currently be commonly targeted or affected by malware. However, industry trends for malicious software can change quickly, so it is important for organizations to be aware of new malware that might affect their systems—for example, by monitoring vendor security notices and anti-virus news groups to determine whether their systems might be coming under threat from new and evolving malware.

Trends in malicious software should be included in the identification of new security vulnerabilities, and methods to address new trends should be incorporated into the company's configuration standards and protection mechanisms as needed",5.1.2,Maintain a Vulnerability Management Program,Requirement 5: Protect all systems against malware and regularly update anti-virus software or programs,"2 - Protect systems and networks, and be prepared to respond to a system breach"
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 5.2,PCI Data Security Standard v3.2.1 - 5.2,"Ensure that all anti-virus mechanisms are maintained as follows:

•  Are kept current, 
•  Perform periodic scans
•  Generate audit logs which are retained per PCI DSS Requirement 10.7.","Even the best anti-virus solutions are limited in effectiveness if they are not maintained and kept current with the latest security updates, signature files, or malware protections.

Audit logs provide the ability to monitor virus and malware activity and anti-malware reactions. Thus, it is imperative that anti-malware solutions be configured to generate audit logs and that these logs be managed in accordance with Requirement 10.",5.2,Maintain a Vulnerability Management Program,Requirement 5: Protect all systems against malware and regularly update anti-virus software or programs,"2 - Protect systems and networks, and be prepared to respond to a system breach"
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 5.3,PCI Data Security Standard v3.2.1 - 5.3,"Ensure that anti-virus mechanisms are actively running and cannot be disabled or altered by users, unless specifically authorized by management on a case-by-case basis for a limited time period. 

Note: Anti-virus solutions may be temporarily disabled only if there is legitimate technical need, as authorized by management on a case-by-case basis. If anti-virus protection needs to be disabled for a specific purpose, it must be formally authorized. Additional security measures may also need to be implemented for the period of time during which anti-virus protection is not active.","Anti-virus that continually runs and is unable to be altered will provide persistent security against malware.

Use of policy-based controls on all systems to ensure anti-malware protections cannot be altered or disabled will help prevent system weaknesses from being exploited by malicious software.

Additional security measures may also need to be implemented for the period of time during which anti-virus protection is not active—for example, disconnecting the unprotected system from the Internet while the anti-virus protection is disabled, and running a full scan after it is re-enabled.",5.3,Maintain a Vulnerability Management Program,Requirement 5: Protect all systems against malware and regularly update anti-virus software or programs,"2 - Protect systems and networks, and be prepared to respond to a system breach"
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 5.4,PCI Data Security Standard v3.2.1 - 5.4,"Ensure that security policies and operational procedures for protecting systems against malware are documented, in use, and known to all affected parties.",Personnel need to be aware of and following security policies and operational procedures to ensure systems are protected from malware on a continuous basis.,5.4,Maintain a Vulnerability Management Program,Requirement 5: Protect all systems against malware and regularly update anti-virus software or programs,"2 - Protect systems and networks, and be prepared to respond to a system breach"
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 6.1,PCI Data Security Standard v3.2.1 - 6.1,"Establish a process to identify security vulnerabilities, using reputable outside sources for security vulnerability information, and assign a risk ranking (for example, as “high,” “medium,” or “low”) to newly discovered security vulnerabilities.

Note: Risk rankings should be based on industry best practices as well as consideration of potential impact. For example, criteria for ranking vulnerabilities may include consideration of the CVSS base score, and/or the classification by the vendor, and/or type of systems affected.

Methods for evaluating vulnerabilities and assigning risk ratings will vary based on an organization’s environment and risk-assessment strategy. Risk rankings should, at a minimum, identify all vulnerabilities considered to be a “high risk” to the environment. In addition to the risk ranking, vulnerabilities may be considered “critical” if they pose an imminent threat to the environment, impact critical systems, and/or would result in a potential compromise if not addressed. Examples of critical systems may include security systems, public-facing devices and systems, databases, and other systems that store, process, or transmit cardholder data.","The intent of this requirement is that organizations keep up to date with new vulnerabilities that may impact their environment.

Sources for vulnerability information should be trustworthy and often include vendor websites, industry news groups, mailing list, or RSS feeds.

Once an organization identifies a vulnerability that could affect their environment, the risk that the vulnerability poses must be evaluated and ranked. The organization must therefore have a method in place to evaluate vulnerabilities on an ongoing basis and assign risk rankings to those vulnerabilities. This is not achieved by an ASV scan or internal vulnerability scan, rather this requires a process to actively monitor industry sources for vulnerability information.

Classifying the risks (for example, as “high,” “medium,” or “low”) allows organizations to identify, prioritize, and address the highest risk items more quickly and reduce the likelihood that vulnerabilities posing the greatest risk will be exploited.",6.1,Maintain a Vulnerability Management Program,Requirement 6: Develop and maintain secure systems and applications,3 - Secure payment card applications
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 6.2,PCI Data Security Standard v3.2.1 - 6.2,"Ensure that all system components and software are protected from known vulnerabilities by installing applicable vendor-supplied security patches. Install critical security patches within one month of release.
Note: Critical security patches should be identified according to the risk ranking process defined in Requirement 6.1.","There is a constant stream of attacks using widely published exploits, often called ""zero day"" (an attack that exploits a previously unknown vulnerability), against otherwise secured systems. If the most recent patches are not implemented on critical systems as soon as possible, a malicious individual can use these exploits to attack or disable a system, or gain access to sensitive data.

Prioritizing patches for critical infrastructure ensures that high-priority systems and devices are protected from vulnerabilities as soon as possible after a patch is released. Consider prioritizing patch installations such that security patches for critical or at-risk systems are installed within 30 days, and other lower-risk patches are installed within 2-3 months.

This requirement applies to applicable patches for all installed software, including payment applications (both those that are PA-DSS validated and those that are not).",6.2,Maintain a Vulnerability Management Program,Requirement 6: Develop and maintain secure systems and applications,3 - Secure payment card applications
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 6.3,PCI Data Security Standard v3.2.1 - 6.3,"Develop internal and external software applications (including web-based administrative access to applications) securely, as follows:

•  In accordance with PCI DSS (for example, secure authentication and logging)
•  Based on industry standards and/or best practices.
•  Incorporating information security throughout the software-development life cycle

Note: This applies to all software developed internally as well as bespoke or custom software developed by a third party.","Without the inclusion of security during the requirements definition, design, analysis, and testing phases of software development, security vulnerabilities can be inadvertently or maliciously introduced into the production environment.

Understanding how sensitive data is handled by the application—including when stored, transmitted, and when in memory—can help identify where data needs to be protected.",6.3,Maintain a Vulnerability Management Program,Requirement 6: Develop and maintain secure systems and applications,3 - Secure payment card applications
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 6.3.1,PCI Data Security Standard v3.2.1 - 6.3.1,"Remove development, test and/or custom application accounts, user IDs, and passwords before applications become active or are released to customers.","Development, test and/or custom application accounts, user IDs, and passwords should be removed from production code before the application becomes active or is released to customers, since these items may give away information about the functioning of the application. Possession of such information could facilitate compromise of the application and related cardholder data.",6.3.1,Maintain a Vulnerability Management Program,Requirement 6: Develop and maintain secure systems and applications,3 - Secure payment card applications
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 6.3.2,PCI Data Security Standard v3.2.1 - 6.3.2,"Review custom code prior to release to production or customers in order to identify any potential coding vulnerability (using either manual or automated processes) to include at least the following:
•  Code changes are reviewed by individuals other than the originating code author, and by individuals knowledgeable about code-review techniques and secure coding practices.
•  Code reviews ensure code is developed according to secure coding guidelines
•  Appropriate corrections are implemented prior to release.
•  Code-review results are reviewed and approved by management prior to release.

Note: This requirement for code reviews applies to all custom code (both internal and public-facing), as part of the system development life cycle. Code reviews can be conducted by knowledgeable internal personnel or third parties. Public-facing web applications are also subject to additional controls, to address ongoing threats and vulnerabilities after implementation, as defined at PCI DSS Requirement 6.6.","Security vulnerabilities in custom code are commonly exploited by malicious individuals to gain access to a network and compromise cardholder data.

An individual knowledgeable and experienced in code-review techniques should be involved in the review process. Code reviews should be performed by someone other than the developer of the code to allow for an independent, objective review. Automated tools or processes may also be used in lieu of manual reviews, but keep in mind that it may be difficult or even impossible for an automated tool to identify some coding issues.

Correcting coding errors before the code is deployed into a production environment or released to customers prevents the code exposing the environments to potential exploit. Faulty code is also far more difficult and expensive to address after it has been deployed or released into production environments.

Including a formal review and signoff by management prior to release helps to ensure that code is approved and has been developed in accordance with policies and procedures.",6.3.2,Maintain a Vulnerability Management Program,Requirement 6: Develop and maintain secure systems and applications,3 - Secure payment card applications
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 6.4,PCI Data Security Standard v3.2.1 - 6.4,Follow change control processes and procedures for all changes to system components. The processes must include the following:,"Without properly documented and implemented change controls, security features could be inadvertently or deliberately omitted or rendered inoperable, processing irregularities could occur, or malicious code could be introduced.",6.4,Maintain a Vulnerability Management Program,Requirement 6: Develop and maintain secure systems and applications,3 - Secure payment card applications
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 6.4.1,PCI Data Security Standard v3.2.1 - 6.4.1,"Separate development/test environments from production environments, and enforce the separation with access controls.","Due to the constantly changing state of development and test environments, they tend to be less secure than the production environment. Without adequate separation between environments, it may be possible for the production environment, and cardholder data, to be compromised due to lessstringent security configurations and possible vulnerabilities in a test or development environment.",6.4.1,Maintain a Vulnerability Management Program,Requirement 6: Develop and maintain secure systems and applications,3 - Secure payment card applications
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 6.4.2,PCI Data Security Standard v3.2.1 - 6.4.2,Separation of duties between development/test and production environments,"Reducing the number of personnel with access to the production environment and cardholder data minimizes risk and helps ensure that access is limited to those individuals with a business need to know.

The intent of this requirement is to separate development and test functions from production functions. For example, a developer may use an administrator-level account with elevated privileges in the development environment, and have a separate account with user-level access to the production environment.",6.4.2,Maintain a Vulnerability Management Program,Requirement 6: Develop and maintain secure systems and applications,3 - Secure payment card applications
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 6.4.3,PCI Data Security Standard v3.2.1 - 6.4.3,Production data (live PANs) are not used for testing or development,Security controls are usually not as stringent in test or development environments. Use of production data provides malicious individuals with the opportunity to gain unauthorized access to production data (cardholder data).,6.4.3,Maintain a Vulnerability Management Program,Requirement 6: Develop and maintain secure systems and applications,3 - Secure payment card applications
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 6.4.4,PCI Data Security Standard v3.2.1 - 6.4.4,Removal of test data and accounts from system components before the system becomes active/goes into production.,"Test data and accounts should be removed before the system component becomes active (in production), since these items may give away information about the functioning of the application or system. Possession of such information could facilitate compromise of the system and related cardholder data.",6.4.4,Maintain a Vulnerability Management Program,Requirement 6: Develop and maintain secure systems and applications,3 - Secure payment card applications
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 6.4.5,PCI Data Security Standard v3.2.1 - 6.4.5,Change control procedures must include the following:,"If not properly managed, the impact of system changes—such as hardware or software updates and installation of security patches—might not be fully realized and could have unintended consequences.",6.4.5,Maintain a Vulnerability Management Program,Requirement 6: Develop and maintain secure systems and applications,"6 - Finalize remaining compliance efforts, and ensure all controls are in place"
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 6.4.5.1,PCI Data Security Standard v3.2.1 - 6.4.5.1,Documentation of impact.,The impact of the change should be documented so that all affected parties can plan appropriately for any processing changes.,6.4.5.1,Maintain a Vulnerability Management Program,Requirement 6: Develop and maintain secure systems and applications,"6 - Finalize remaining compliance efforts, and ensure all controls are in place"
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 6.4.5.2,PCI Data Security Standard v3.2.1 - 6.4.5.2,Documented change approval by authorized parties. ,Approval by authorized parties indicates that the change is a legitimate and approved change sanctioned by the organization.,6.4.5.2,Maintain a Vulnerability Management Program,Requirement 6: Develop and maintain secure systems and applications,"6 - Finalize remaining compliance efforts, and ensure all controls are in place"
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 6.4.5.3,PCI Data Security Standard v3.2.1 - 6.4.5.3,Functionality testing to verify that the change does not adversely impact the security of the system.,"Thorough testing should be performed to verify that the security of the environment is not reduced by implementing a change. Testing should validate that all existing security controls remain in place, are replaced with equally strong controls, or are strengthened after any change to the environment.",6.4.5.3,Maintain a Vulnerability Management Program,Requirement 6: Develop and maintain secure systems and applications,"6 - Finalize remaining compliance efforts, and ensure all controls are in place"
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 6.4.5.4,PCI Data Security Standard v3.2.1 - 6.4.5.4,Back-out procedures.,"For each change, there should be documented back-out procedures in case the change fails or adversely affects the security of an application or system, to allow the system to be restored back to its previous state.",6.4.5.4,Maintain a Vulnerability Management Program,Requirement 6: Develop and maintain secure systems and applications,"6 - Finalize remaining compliance efforts, and ensure all controls are in place"
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 6.4.6,PCI Data Security Standard v3.2.1 - 6.4.6,"Upon completion of a significant change, all relevant PCI DSS requirements must be implemented on all new or changed systems and networks, and documentation updated as applicable.","Having processes to analyze significant changes helps ensure that all appropriate PCI DSS controls are applied to any systems or networks added or changed within the in-scope environment.

Building this validation into change management processes helps ensure that device inventories and configuration standards are kept up to date and security controls are applied where needed.

A change management process should include supporting evidence that PCI DSS requirements are implemented or preserved through the iterative process. Examples of PCI DSS requirements that could be impacted include, but are not limited to:

• Network diagram is updated to reflect changes.

• Systems are configured per configuration standards, with all default passwords changed and unnecessary services disabled.

• Systems are protected with required controls— e.g., file-integrity monitoring (FIM), anti-virus, patches, audit logging.

• Sensitive authentication data (SAD) is not stored and all cardholder data (CHD) storage is documented and incorporated into dataretention policy and procedures

• New systems are included in the quarterly vulnerability scanning process.",6.4.6,Maintain a Vulnerability Management Program,Requirement 6: Develop and maintain secure systems and applications,"6 - Finalize remaining compliance efforts, and ensure all controls are in place"
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 6.5,PCI Data Security Standard v3.2.1 - 6.5,"Address common coding vulnerabilities in software-development processes as follows:
•  Train developers at least annually  in up-to-date secure coding techniques, including how to avoid common coding vulnerabilities.
•  Develop applications based on secure coding guidelines.

Note: The vulnerabilities listed at 6.5.1 through 6.5.10 were current with industry best practices when this version of PCI DSS was published. However, as industry best practices for vulnerability management are updated (for example, the OWASP Guide, SANS CWE Top 25, CERT Secure Coding, etc.), the current best practices must be used for these requirements.

Note: Requirements 6.5.1 through 6.5.6, below, apply to all applications (internal or external).","The application layer is high-risk and may be targeted by both internal and external threats.

Requirements 6.5.1 through 6.5.10 are the minimum controls that should be in place, and organizations should incorporate the relevant secure coding practices as applicable to the particular technology
in their environment.

Application developers should be properly trained to
identify and resolve issues related to these (and
other) common coding vulnerabilities. Having staff
knowledgeable of secure coding guidelines should
minimize the number of security vulnerabilities
introduced through poor coding practices. Training
for developers may be provided in-house or by third
parties and should be applicable for technology
used.

As industry-accepted secure coding practices
change, organizational coding practices and
developer training should likewise be updated to
address new threats—for example, memory
scraping attacks.

The vulnerabilities identified in 6.5.1 through 6.5.10
provide a minimum baseline. It is up to the
organization to remain up to date with vulnerability
trends and incorporate appropriate measures into
their secure coding practices.",6.5,Maintain a Vulnerability Management Program,Requirement 6: Develop and maintain secure systems and applications,3 - Secure payment card applications
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 6.5.1,PCI Data Security Standard v3.2.1 - 6.5.1,"Injection flaws, particularly SQL injection. Also consider OS Command Injection, LDAP and XPath injection flaws as well as other injection flaws.","Injection flaws, particularly SQL injection, are a commonly used method for compromising applications. Injection occurs when user-supplied data is sent to an interpreter as part of a command or query. The attacker's hostile data tricks the interpreter into executing unintended commands or changing data, and allows the attacker to attack components inside the network through the application, to initiate attacks such as buffer overflows, or to reveal both confidential information and server application functionality.

Information should be validated before being sent to the application—for example, by checking for all alpha characters, mix of alpha and numeric characters, etc.",6.5.1,Maintain a Vulnerability Management Program,Requirement 6: Develop and maintain secure systems and applications,3 - Secure payment card applications
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 6.5.2,PCI Data Security Standard v3.2.1 - 6.5.2,Buffer overflows,"Buffer overflows occur when an application does not have appropriate bounds checking on its buffer space. This can cause the information in the buffer to be pushed out of the buffer’s memory space and into executable memory space. When this occurs, the attacker has the ability to insert malicious code at the end of the buffer and then push that malicious code into executable memory space by overflowing the buffer. The malicious code is then executed and often enables the attacker remote access to the application and/or infected system.",6.5.2,Maintain a Vulnerability Management Program,Requirement 6: Develop and maintain secure systems and applications,3 - Secure payment card applications
