Control Framework,Control Short Name,Control Long Name,Control Description,Supplemental Guidance,Control Number,Control Family,Control Class,Control Priority,Defined approach requirements,Customized Approach Objective,Applicability Notes,Defined Approach Testing Procedures,Purpose,Good Practice,Definitions,Further Information,Examples
PCI Data Security Standard v4.0,PCI DSS v4.0 - 3.4.2,PCI Data Security Standard v4.0 - 3.4.2,"When using remote-access technologies, technical controls prevent copy and/or relocation of PAN for all personnel, except for those with documented, explicit authorization and a legitimate, defined business need.","Purpose
Relocation of PAN to unauthorized storage devices is a common way for this data to be obtained and used fraudulently. Methods to ensure that only those with explicit authorization and a legitimate business reason can copy or relocate PAN minimizes the risk of unauthorized persons gaining access to PAN.

Good Practice
Copying and relocation of PAN should only be done to storage devices that are permissible and authorized for that individual.

Definitions
Relocation of PAN to unauthorized storage devices is a common way for this data to be obtained and used fraudulently. Methods to ensure that only those with explicit authorization and a legitimate business reason can copy or relocate PAN minimizes the risk of unauthorized persons gaining access to PAN.

",3.4.2,Build and Maintain a Secure Network and Systems ,Requirement 3: Protect Stored Account Data ,,"When using remote-access technologies, technical controls prevent copy and/or relocation of PAN for all personnel, except for those with documented, explicit authorization and a legitimate, defined business need.",PAN cannot be copied or relocated by unauthorized personnel using remote-access technologies.,"Storing or relocating PAN onto local hard drives, removable electronic media, and other storage devices brings these devices into scope for PCI DSS. This requirement is a best practice until 31 March 2025, after which it will be required and must be fully considered during a PCI DSS assessment.","a. Examine documented policies and procedures and documented evidence for technical controls that prevent copy and/or relocation of PAN when using remote-access technologies onto local hard drives or removable electronic media to verify the following:
• Technical controls prevent all personnel not specifically authorized from copying and/or relocating PAN.
• A list of personnel with permission to copy and/or relocate PAN is maintained, together with the documented, explicit authorization and legitimate, defined business need.

b. Examine configurations for remote-access technologies to verify that technical controls to prevent copy and/or relocation of PAN for all personnel, unless explicitly authorized.

c. Observe processes and interview personnel to verify that only personnel with documented, explicit authorization and a legitimate, defined business need have permission to copy and/or relocate PAN when using remote- access technologies.",Relocation of PAN to unauthorized storage devices is a common way for this data to be obtained and used fraudulently. Methods to ensure that only those with explicit authorization and a legitimate business reason can copy or relocate PAN minimizes the risk of unauthorized persons gaining access to PAN.,Copying and relocation of PAN should only be done to storage devices that are permissible and authorized for that individual.,"A virtual desktop is an example of a remote- access technology. Storage devices include, but are not limited to, local hard drives, virtual drives, removable electronic media, network drives, and cloud storage.",Vendor documentation for the remote-access technology in use will provide information about the system settings needed to implement this requirement.,
PCI Data Security Standard v4.0,PCI DSS v4.0 - 3.5,PCI Data Security Standard v4.0 - 3.5,Primary account number (PAN) is secured wherever it is stored.,,3.5,Build and Maintain a Secure Network and Systems ,Requirement 3: Protect Stored Account Data ,,,,,,,,,,
PCI Data Security Standard v4.0,PCI DSS v4.0 - 3.5.1,PCI Data Security Standard v4.0 - 3.5.1,"PAN is rendered unreadable anywhere it is stored by using any of the following approaches:
• One-way hashes based on strong cryptography of the entire PAN.
• Truncation (hashing cannot be used to replace the truncated segment of PAN).
– If hashed and truncated versions of the same PAN, or different truncation formats of the same PAN, are present in an environment, additional controls are in place such that the different versions cannot be correlated to reconstruct the original PAN.
• Index tokens.
• Strong cryptography with associated key-management processes and procedures.","Purpose
The removal of cleartext stored PAN is a defense in depth control designed to protect the data if an unauthorized individual gains access to stored data by taking advantage of a vulnerability or misconfiguration of an entity’s primary access control. Secondary independent control systems (for example governing access to, and use of, cryptography and decryption keys) prevent the failure of a primary access control system leading to a breach of confidentiality of stored PAN. If hashing is used to remove stored cleartext PAN, by correlating hashed and truncated versions of a given PAN, a malicious individual can easily derive the original PAN value. Controls that prevent the correlation of this data will help ensure that the original PAN remains unreadable.

",3.5.1,Build and Maintain a Secure Network and Systems ,Requirement 3: Protect Stored Account Data ,,"PAN is rendered unreadable anywhere it is stored by using any of the following approaches:
• One-way hashes based on strong cryptography of the entire PAN.
• Truncation (hashing cannot be used to replace the truncated segment of PAN).
– If hashed and truncated versions of the same PAN, or different truncation formats of the same PAN, are present in an environment, additional controls are in place such that the different versions cannot be correlated to reconstruct the original PAN.
• Index tokens.
• Strong cryptography with associated key-management processes and procedures.",Cleartext PAN cannot be read from storage media.,"It is a relatively trivial effort for a malicious individual to reconstruct original PAN data if they have access to both the truncated and hashed version of a PAN. This requirement applies to PANs stored in primary storage (databases, or flat files such as text files spreadsheets) as well as non-primary storage (backup, audit logs, exception, or troubleshooting logs) must all be protected. This requirement does not preclude the use of temporary files containing cleartext PAN while encrypting and decrypting PAN.","a. Examine documentation about the system used to render PAN unreadable, including the vendor, type of system/process, and the encryption algorithms (if applicable) to verify that the PAN is rendered unreadable using any of the methods specified in this requirement.

b. Examine data repositories and audit logs, including payment application logs, to verify the PAN is rendered unreadable using any of the methods specified in this requirement.

c. If hashed and truncated versions of the same PAN are present in the environment, examine implemented controls to verify that the hashed and truncated versions cannot be correlated to reconstruct the original PAN.","The removal of cleartext stored PAN is a defense in depth control designed to protect the data if an unauthorized individual gains access to stored data by taking advantage of a vulnerability or misconfiguration of an entity’s primary access control. Secondary independent control systems (for example governing access to, and use of, cryptography and decryption keys) prevent the failure of a primary access control system leading to a breach of confidentiality of stored PAN. If hashing is used to remove stored cleartext PAN, by correlating hashed and truncated versions of a given PAN, a malicious individual can easily derive the original PAN value. Controls that prevent the correlation of this data will help ensure that the original PAN remains unreadable.",,,"For information about truncation formats and truncation in general, see PCI SSC’s FAQs on the topic. Sources for information about index tokens include:
• PCI SSC’s Tokenization Product Security Guidelines (https://www.pcisecuritystandards.org/documents/Tokenization_Product_Security_Guidelines.pdf)
• ANSI X9.119-2-2017: Retail Financial Services - Requirements For Protection Of Sensitive Payment Card Data - Part 2: Implementing Post-Authorization Tokenization Systems",
PCI Data Security Standard v4.0,PCI DSS v4.0 - 3.5.1.1,PCI Data Security Standard v4.0 - 3.5.1.1,"Hashes used to render PAN unreadable (per the first bullet of Requirement 3.5.1) are keyed cryptographic hashes of the entire PAN, with associated key-management processes and procedures in accordance with Requirements 3.6 and 3.7.","Purpose
The removal of cleartext stored PAN is a defense in depth control designed to protect the data if an unauthorized individual gains access to stored data by taking advantage of a vulnerability or misconfiguration of an entity’s primary access control. Secondary independent control systems (for example governing access to, and use of, cryptography and decryption keys) prevent the failure of a primary access control system leading to a breach of confidentiality of stored PAN. If hashing is used to remove stored cleartext PAN, by correlating hashed and truncated versions of a given PAN, a malicious individual can easily derive the original PAN value. Controls that prevent the correlation of this data will help ensure that the original PAN remains unreadable.

Good Practice
A hashing function that incorporates a randomly generated secret key provides brute force attack resistance and secret authentication integrity.

",3.5.1.1,Build and Maintain a Secure Network and Systems ,Requirement 3: Protect Stored Account Data ,,"Hashes used to render PAN unreadable (per the first bullet of Requirement 3.5.1) are keyed cryptographic hashes of the entire PAN, with associated key-management processes and procedures in accordance with Requirements 3.6 and 3.7.",,"Hashes used to render PAN unreadable (per the first bullet of Requirement 3.5.1) are keyed cryptographic hashes of the entire PAN, with associated key-management processes and procedures in accordance with Requirements 3.6 and 3.7.","a. Examine documentation about the hashing method used to render PAN unreadable, including the vendor, type of system/process, and the encryption algorithms (as applicable) to verify that the hashing method results in keyed cryptographic hashes of the entire PAN, with associated key management processes and procedures.

b. Examine documentation about the key management procedures and processes associated with the keyed cryptographic hashes to verify keys are managed in accordance with Requirements 3.6 and 3.7.

c. Examine data repositories to verify the PAN is rendered unreadable.

d. Examine audit logs, including payment application logs, to verify the PAN is rendered unreadable.","The removal of cleartext stored PAN is a defense in depth control designed to protect the data if an unauthorized individual gains access to stored data by taking advantage of a vulnerability or misconfiguration of an entity’s primary access control. Secondary independent control systems (for example governing access to, and use of, cryptography and decryption keys) prevent the failure of a primary access control system leading to a breach of confidentiality of stored PAN. If hashing is used to remove stored cleartext PAN, by correlating hashed and truncated versions of a given PAN, a malicious individual can easily derive the original PAN value. Controls that prevent the correlation of this data will help ensure that the original PAN remains unreadable.",A hashing function that incorporates a randomly generated secret key provides brute force attack resistance and secret authentication integrity.,,"Appropriate keyed cryptographic hashing algorithms include but are not limited to: HMAC, CMAC, and GMAC, with an effective cryptographic strength of at least 128-bits (NIST SP 800-131Ar2). Refer to the following for more information about HMAC, CMAC, and GMAC, respectively: NIST SP 800-107r1, NIST SP 800-38B, and NIST SP 800-38D). See NIST SP 800-107 (Revision 1): Recommendation for Applications Using Approved Hash Algorithms §5.3.",
PCI Data Security Standard v4.0,PCI DSS v4.0 - 3.5.1.2,PCI Data Security Standard v4.0 - 3.5.1.2,"If disk-level or partition-level encryption (rather than file-, column-, or field-level database encryption) is used to render PAN unreadable, it is implemented only as follows:
• On removable electronic media
OR
• If used for non-removable electronic media, PAN is also rendered unreadable via another mechanism that meets Requirement 3.5.1.","Purpose
Disk-level and partition-level encryption typically encrypts the entire disk or partition using the same key, with all data automatically decrypted when the system runs or when an authorized user requests it. For this reason, disk-level encryption is not appropriate to protect stored PAN on computers, laptops, servers, storage arrays, or any other system that provides transparent decryption upon user authentication.

",3.5.1.2,Build and Maintain a Secure Network and Systems ,Requirement 3: Protect Stored Account Data ,,"If disk-level or partition-level encryption (rather than file-, column-, or field-level database encryption) is used to render PAN unreadable, it is implemented only as follows:
• On removable electronic media
OR
• If used for non-removable electronic media, PAN is also rendered unreadable via another mechanism that meets Requirement 3.5.1.",This requirement is not eligible for the customized approach.,"While disk encryption may still be present on these types of devices, it cannot be the only mechanism used to protect PAN stored on those systems. Any stored PAN must also be rendered unreadable per Requirement 3.5.1—for example, through truncation or a data-level encryption mechanism. Full disk encryption helps to protect data in the event of physical loss of a disk and therefore its use is appropriate only for removable electronic media storage devices. Media that is part of a data center architecture (for example, hot-swappable drives, bulk tape-backups) is considered non-removable electronic media to which Requirement 3.5.1 applies. Disk or partition encryption implementations must also meet all other PCI DSS encryption and key- management requirements. This requirement is a best practice until 31 March 2025, after which it will be required and must be fully considered during a PCI DSS assessment.","a. Examine encryption processes to verify that, if disk-level or partition-level encryption is used to render PAN unreadable, it is implemented only as follows:
• On removable electronic media,
OR
• If used for non-removable electronic media, examine encryption processes used to verify that PAN is also rendered unreadable via another method that meets Requirement 3.5.1.

b. Examine configurations and/or vendordocumentation and observe encryption processesto verify the system is configured according tovendor documentation the result is that the disk orthe partition is rendered unreadable.","Disk-level and partition-level encryption typically encrypts the entire disk or partition using the same key, with all data automatically decrypted when the system runs or when an authorized user requests it. For this reason, disk-level encryption is not appropriate to protect stored PAN on computers, laptops, servers, storage arrays, or any other system that provides transparent decryption upon user authentication.",,,"Where available, following vendors’ hardening and industry best practice guidelines can assist in securing PAN on these devices.",
PCI Data Security Standard v4.0,PCI DSS v4.0 - 3.5.1.3,PCI Data Security Standard v4.0 - 3.5.1.3,"If disk-level or partition-level encryption is used (rather than file-, column-, or field--level database encryption) to render PAN unreadable, it is managed as follows:
• Logical access is managed separately and independently of native operating system authentication and access control mechanisms.
• Decryption keys are not associated with user accounts.
• Authentication factors (passwords, passphrases, or cryptographic keys) that allow access to unencrypted data are stored securely.","Purpose
Disk-level encryption typically encrypts the entire disk or partition using the same key, with all data automatically decrypted when the system runs or when an authorized user requests it. Many disk- encryption solutions intercept operating system read/write operations and perform the appropriate cryptographic transformations without any special action by the user other than supplying a password or passphrase at system start-up or at the beginning of a session. This provides no protection from a malicious individual that has already managed to gain access to a valid user account.

Good Practice
Full disk encryption helps to protect data in the event of physical loss of a disk and therefore its use is best limited only to removable electronic media storage devices.

",3.5.1.3,Build and Maintain a Secure Network and Systems ,Requirement 3: Protect Stored Account Data ,,"If disk-level or partition-level encryption is used (rather than file-, column-, or field--level database encryption) to render PAN unreadable, it is managed as follows:
• Logical access is managed separately and independently of native operating system authentication and access control mechanisms.
• Decryption keys are not associated with user accounts.
• Authentication factors (passwords, passphrases, or cryptographic keys) that allow access to unencrypted data are stored securely.",Disk encryption implementations are configured to require independent authentication and logical access controls for decryption.,Disk or partition encryption implementations must also meet all other PCI DSS encryption and key- management requirements.,"a. If disk-level or partition-level encryption isused to render PAN unreadable, examine thesystem configuration and observe theauthentication process to verify that logical accessis implemented in accordance with all elementsspecified in this requirement.

b. Examine files containing authenticationfactors (passwords, passphrases, or cryptographickeys) and interview personnel to verify thatauthentication factors that allow access tounencrypted data are stored securely and areindependent from the native operating system’sauthentication and access control methods.","Disk-level encryption typically encrypts the entire disk or partition using the same key, with all data automatically decrypted when the system runs or when an authorized user requests it. Many disk- encryption solutions intercept operating system read/write operations and perform the appropriate cryptographic transformations without any special action by the user other than supplying a password or passphrase at system start-up or at the beginning of a session. This provides no protection from a malicious individual that has already managed to gain access to a valid user account.",Full disk encryption helps to protect data in the event of physical loss of a disk and therefore its use is best limited only to removable electronic media storage devices.,,,
PCI Data Security Standard v4.0,PCI DSS v4.0 - 3.6,PCI Data Security Standard v4.0 - 3.6,Cryptographic keys used to protect stored account data are secured.,,3.6,Build and Maintain a Secure Network and Systems ,Requirement 3: Protect Stored Account Data ,,,,,,,,,,
PCI Data Security Standard v4.0,PCI DSS v4.0 - 3.6.1,PCI Data Security Standard v4.0 - 3.6.1,"Procedures are defined and implemented to protect cryptographic keys used to protect stored account data against disclosure and misuse that include:
• Access to keys is restricted to the fewest number of custodians necessary.
• Key-encrypting keys are at least as strong as the data-encrypting keys they protect.
• Key-encrypting keys are stored separately from data-encrypting keys.
• Keys are stored securely in the fewest possible locations and forms.","Purpose
Cryptographic keys must be strongly protected because those who obtain access will be able to decrypt data.

Good Practice
Having a centralized key management system based on industry standards is recommended for managing cryptographic keys.

",3.6.1,Build and Maintain a Secure Network and Systems ,Requirement 3: Protect Stored Account Data ,,"Procedures are defined and implemented to protect cryptographic keys used to protect stored account data against disclosure and misuse that include:
• Access to keys is restricted to the fewest number of custodians necessary.
• Key-encrypting keys are at least as strong as the data-encrypting keys they protect.
• Key-encrypting keys are stored separately from data-encrypting keys.
• Keys are stored securely in the fewest possible locations and forms.",Processes that protect cryptographic keys used to protect stored account data against disclosure and misuse are defined and implemented.,"This requirement applies to keys used to encrypt stored account data and to key-encrypting keys used to protect data-encrypting keys. The requirement to protect keys used to protect stored account data from disclosure and misuse applies to both data-encrypting keys and key- encrypting keys. Because one key-encrypting key may grant access to many data-encrypting keys, the key-encrypting keys require strong protection measures.",Examine documented key-management policies and procedures to verify that processes to protect cryptographic keys used to protect stored account data against disclosure and misuse are defined to include all elements specified in this requirement.,Cryptographic keys must be strongly protected because those who obtain access will be able to decrypt data.,Having a centralized key management system based on industry standards is recommended for managing cryptographic keys.,,"The entity’s key management procedures will benefit through alignment with industry requirements, Sources for information on cryptographic key management life cycles include:
• ISO 11568-1 Banking — Key management (retail) — Part 1: Principles (specifically Chapter 10 and the referenced Parts 2 & 4)
• NIST SP 800-57 Part 1 Revision 5—Recommendation for Key Management, Part 1: General.",
PCI Data Security Standard v4.0,PCI DSS v4.0 - 3.6.1.1,PCI Data Security Standard v4.0 - 3.6.1.1,"Additional requirement for service providers only: A documented description of the cryptographic architecture is maintained that includes:
• Details of all algorithms, protocols, and keys used for the protection of stored account data, including key strength and expiry date.
• Preventing the use of the same cryptographic keys in production and test environments. This bullet is a best practice until its effective date; refer to Applicability Notes below for details.
• Description of the key usage for each key.
• Inventory of any hardware security modules (HSMs), key management systems (KMS), and other secure cryptographic devices (SCDs) used for key management, including type and location of devices, as outlined in Requirement 12.3.4.","Purpose
Maintaining current documentation of the cryptographic architecture enables an entity to understand the algorithms, protocols, and cryptographic keys used to protect stored account data, as well as the devices that generate, use, and protect the keys. This allows an entity to keep pace with evolving threats to its architecture and plan for updates as the assurance level provided by different algorithms and key strengths changes. Maintaining such documentation also allows an entity to detect lost or missing keys or key-management devices and identify unauthorized additions to its cryptographic architecture. The use of the same cryptographic keys in both production and test environments introduces a risk of exposing the key if the test environment is not at the same security level as the production environment.

Good Practice
Having an automated reporting mechanism can assist with maintenance of the cryptographic attributes.

",3.6.1.1,Build and Maintain a Secure Network and Systems ,Requirement 3: Protect Stored Account Data ,,"Additional requirement for service providers only: A documented description of the cryptographic architecture is maintained that includes:
• Details of all algorithms, protocols, and keys used for the protection of stored account data, including key strength and expiry date.
• Preventing the use of the same cryptographic keys in production and test environments. This bullet is a best practice until its effective date; refer to Applicability Notes below for details.
• Description of the key usage for each key.
• Inventory of any hardware security modules (HSMs), key management systems (KMS), and other secure cryptographic devices (SCDs) used for key management, including type and location of devices, as outlined in Requirement 12.3.4.",Accurate details of the cryptographic architecture are maintained and available.,"This requirement applies only when the entity being assessed is a service provider. In cloud HSM implementations, responsibility for the cryptographic architecture according to this Requirement will be shared between the cloud provider and the cloud customer. The bullet above (for including, in the cryptographic architecture, that the use of the same cryptographic keys in production and test is prevented) is a best practice until 31 March 2025, after which it will be required as part of Requirement 3.6.1.1 and must be fully considered during a PCI DSS assessment.",Additional testing procedure for service provider assessments only: Interview responsible personnel and examine documentation to verify that a document exists to describe the cryptographic architecture that includes all elements specified in this requirement.,"Maintaining current documentation of the cryptographic architecture enables an entity to understand the algorithms, protocols, and cryptographic keys used to protect stored account data, as well as the devices that generate, use, and protect the keys. This allows an entity to keep pace with evolving threats to its architecture and plan for updates as the assurance level provided by different algorithms and key strengths changes. Maintaining such documentation also allows an entity to detect lost or missing keys or key-management devices and identify unauthorized additions to its cryptographic architecture. The use of the same cryptographic keys in both production and test environments introduces a risk of exposing the key if the test environment is not at the same security level as the production environment.",Having an automated reporting mechanism can assist with maintenance of the cryptographic attributes.,,,
PCI Data Security Standard v4.0,PCI DSS v4.0 - 3.6.1.2,PCI Data Security Standard v4.0 - 3.6.1.2,"Secret and private keys used to encrypt/decrypt stored account data are stored in one (or more) of the following forms at all times:
• Encrypted with a key-encrypting key that is at least as strong as the data-encrypting key, and that is stored separately from the data-encrypting key.
• Within a secure cryptographic device (SCD), such as a hardware security module (HSM) or PTS-approved point-of-interaction device.
• As at least two full-length key components or key shares, in accordance with an industry-accepted method.","Purpose
Storing cryptographic keys securely prevents unauthorized or unnecessary access that could result in the exposure of stored account data. Storing keys separately means they are stored such that if the location of one key is compromised, the second key is not also compromised.

Good Practice
Where data-encrypting keys are stored in an HSM, the HSM interaction channel should be protected to prevent interception of encryption or decryption operations.

",3.6.1.2,Build and Maintain a Secure Network and Systems ,Requirement 3: Protect Stored Account Data ,,"Secret and private keys used to encrypt/decrypt stored account data are stored in one (or more) of the following forms at all times:
• Encrypted with a key-encrypting key that is at least as strong as the data-encrypting key, and that is stored separately from the data-encrypting key.
• Within a secure cryptographic device (SCD), such as a hardware security module (HSM) or PTS-approved point-of-interaction device.
• As at least two full-length key components or key shares, in accordance with an industry-accepted method.",Secret and private keys are stored in a secure form that prevents unauthorized retrieval or access.,"It is not required that public keys be stored in one of these forms. Cryptographic keys stored as part of a key management system (KMS) that employs SCDs are acceptable. A cryptographic key that is split into two parts does not meet this requirement. Secret or private keys stored as key components or key shares must be generated via one of the following:
• Using an approved random number generator and within an SCD,
OR
• According to ISO 19592 or equivalent industry standard for generation of secret key shares.","a. Examine documented procedures to verify it is defined that cryptographic keys used to encrypt/decrypt stored account data must exist only in one (or more) of the forms specified in this requirement.

b. Examine system configurations and key storage locations to verify that cryptographic keys used to encrypt/decrypt stored account data exist in one (or more) of the forms specified in this requirement.

c. Wherever key-encrypting keys are used, examine system configurations and key storage locations to verify:
• Key-encrypting keys are at least as strong as the data-encrypting keys they protect.
• Key-encrypting keys are stored separately from data-encrypting keys.","Storing cryptographic keys securely prevents unauthorized or unnecessary access that could result in the exposure of stored account data. Storing keys separately means they are stored such that if the location of one key is compromised, the second key is not also compromised.","Where data-encrypting keys are stored in an HSM, the HSM interaction channel should be protected to prevent interception of encryption or decryption operations.",,,
PCI Data Security Standard v4.0,PCI DSS v4.0 - 3.6.1.3,PCI Data Security Standard v4.0 - 3.6.1.3,Access to cleartext cryptographic key components is restricted to the fewest number of custodians necessary.,"Purpose
Restricting the number of people who have access to cleartext cryptographic key components reduces the risk of stored account data being retrieved or rendered visible by unauthorized parties.

Good Practice
Only personnel with defined key custodian responsibilities (creating, altering, rotating, distributing, or otherwise maintaining encryption keys) should be granted access to key components. Ideally this will be a very small number of people.

",3.6.1.3,Build and Maintain a Secure Network and Systems ,Requirement 3: Protect Stored Account Data ,,Access to cleartext cryptographic key components is restricted to the fewest number of custodians necessary.,Access to cleartext cryptographic key components is restricted to necessary personnel.,,Examine user access lists to verify that access to cleartext cryptographic key components is restricted to the fewest number of custodians necessary.,Restricting the number of people who have access to cleartext cryptographic key components reduces the risk of stored account data being retrieved or rendered visible by unauthorized parties.,"Only personnel with defined key custodian responsibilities (creating, altering, rotating, distributing, or otherwise maintaining encryption keys) should be granted access to key components. Ideally this will be a very small number of people.",,,
PCI Data Security Standard v4.0,PCI DSS v4.0 - 3.6.1.4,PCI Data Security Standard v4.0 - 3.6.1.4,Cryptographic keys are stored in the fewest possible locations.,"Purpose
Storing any cryptographic keys in the fewest locations helps an organization track and monitor all key locations and minimizes the potential for keys to be exposed to unauthorized parties.

",3.6.1.4,Build and Maintain a Secure Network and Systems ,Requirement 3: Protect Stored Account Data ,,Cryptographic keys are stored in the fewest possible locations.,Cryptographic keys are retained only where necessary.,,Examine key storage locations and observe processes to verify that keys are stored in the fewest possible locations.,Storing any cryptographic keys in the fewest locations helps an organization track and monitor all key locations and minimizes the potential for keys to be exposed to unauthorized parties.,,,,
PCI Data Security Standard v4.0,PCI DSS v4.0 - 3.7,PCI Data Security Standard v4.0 - 3.7,"Where cryptography is used to protect stored account data, key management processes and procedures covering all aspects of the key lifecycle are defined and implemented.",,3.7,Build and Maintain a Secure Network and Systems ,Requirement 3: Protect Stored Account Data ,,,,,,,,,,
PCI Data Security Standard v4.0,PCI DSS v4.0 - 3.7.1,PCI Data Security Standard v4.0 - 3.7.1,Key-management policies and procedures are implemented to include generation of strong cryptographic keys used to protect stored account data.,"Purpose
Use of strong cryptographic keys significantly increases the level of security of encrypted account data.

",3.7.1,Build and Maintain a Secure Network and Systems ,Requirement 3: Protect Stored Account Data ,,Key-management policies and procedures are implemented to include generation of strong cryptographic keys used to protect stored account data.,Strong cryptographic keys are generated.,,"a. Examine the documented key-management policies and procedures for keys used for protection of stored account data to verify that they define generation of strong cryptographic keys.

b. Observe the method for generating keys to verify that strong keys are generated.",Use of strong cryptographic keys significantly increases the level of security of encrypted account data.,,,"See the sources referenced at ""Cryptographic Key Generation in Appendix G.",
PCI Data Security Standard v4.0,PCI DSS v4.0 - 3.7.2,PCI Data Security Standard v4.0 - 3.7.2,Key-management policies and procedures are implemented to include secure distribution of cryptographic keys used to protect stored account data.,"Purpose
Secure distribution or conveyance of secret or private cryptographic keys means that keys are distributed only to authorized custodians, as identified in Requirement 3.6.1.2, and are never distributed insecurely.

",3.7.2,Build and Maintain a Secure Network and Systems ,Requirement 3: Protect Stored Account Data ,,Key-management policies and procedures are implemented to include secure distribution of cryptographic keys used to protect stored account data.,Cryptographic keys are secured during distribution.,,"a. Examine the documented key-management policies and procedures for keys used for protection of stored account data to verify that they define secure distribution of cryptographic keys.

b. Observe the method for distributing keys to verify that keys are distributed securely.","Secure distribution or conveyance of secret or private cryptographic keys means that keys are distributed only to authorized custodians, as identified in Requirement 3.6.1.2, and are never distributed insecurely.",,,,
PCI Data Security Standard v4.0,PCI DSS v4.0 - 3.7.3,PCI Data Security Standard v4.0 - 3.7.3,Key-management policies and procedures are implemented to include secure storage of cryptographic keys used to protect stored account data.,"Purpose
Storing keys without proper protection could provide access to attackers, resulting in the decryption and exposure of account data.

Good Practice
Data encryption keys can be protected by encrypting them with a key-encrypting key. Keys can be stored in a Hardware Security Module (HSM). Secret or private keys that can decrypt data should never be present in source code.

",3.7.3,Build and Maintain a Secure Network and Systems ,Requirement 3: Protect Stored Account Data ,,Key-management policies and procedures are implemented to include secure storage of cryptographic keys used to protect stored account data.,Cryptographic keys are secured when stored.,,"a. Examine the documented key-management policies and procedures for keys used for protection of stored account data to verify that they define secure storage of cryptographic keys.

b. Observe the method for storing keys to verify that keys are stored securely.","Storing keys without proper protection could provide access to attackers, resulting in the decryption and exposure of account data.",Data encryption keys can be protected by encrypting them with a key-encrypting key. Keys can be stored in a Hardware Security Module (HSM). Secret or private keys that can decrypt data should never be present in source code.,,,
PCI Data Security Standard v4.0,PCI DSS v4.0 - 3.7.4,PCI Data Security Standard v4.0 - 3.7.4,"Key management policies and procedures are implemented for cryptographic key changes for keys that have reached the end of their cryptoperiod, as defined by the associated application vendor or key owner, and based on industry best practices and guidelines, including the following:
• A defined cryptoperiod for each key type in use.
• A process for key changes at the end of the defined cryptoperiod.","Purpose
Changing encryption keys when they reach the end of their cryptoperiod is imperative to minimize the risk of someone obtaining the encryption keys and using them to decrypt data.

Definitions
Changing encryption keys when they reach the end of their cryptoperiod is imperative to minimize the risk of someone obtaining the encryption keys and using them to decrypt data.

",3.7.4,Build and Maintain a Secure Network and Systems ,Requirement 3: Protect Stored Account Data ,,"Key management policies and procedures are implemented for cryptographic key changes for keys that have reached the end of their cryptoperiod, as defined by the associated application vendor or key owner, and based on industry best practices and guidelines, including the following:
• A defined cryptoperiod for each key type in use.
• A process for key changes at the end of the defined cryptoperiod.",Cryptographic keys are not used beyond their defined cryptoperiod.,,"a. Examine the documented key-management policies and procedures for keys used for protection of stored account data to verify that they define changes to cryptographic keys that have reached the end of their cryptoperiod and include all elements specified in this requirement.

b. Interview personnel, examine documentation, and observe key storage locations to verify that keys are changed at the end of the defined cryptoperiod(s).",Changing encryption keys when they reach the end of their cryptoperiod is imperative to minimize the risk of someone obtaining the encryption keys and using them to decrypt data.,,"A cryptoperiod is the time span during which a cryptographic key can be used for its defined purpose. Cryptoperiods are often defined in terms of the period for which the key is active and/or the amount of cipher-text that has been produced by the key. Considerations for defining the cryptoperiod include, but are not limited to, the strength of the underlying algorithm, size or length of the key, risk of key compromise, and the sensitivity of the data being encrypted.","NIST SP 800-57 Part 1, Revision 5, Section 5.3 Cryptoperiods - provides guidance for establishing the time span during which a specific key is authorized for use by legitimate entities, or the keys for a given system will remain in effect. See Table 1 of SP 800-57 Part 1 for suggested cryptoperiods for different key types.",
