Framework Name,Control Family,Control Class,Control Number,Control Short Name,Control Long Name,Control Description,Supplemental Guidance,Domain Name,Domain Identifier
CMMC v1.02 Maturity Level 2,MEDIA PROTECTION (MP),C023: Protect and control media,MP.2.121,MP.2.121,MP.2.121: Control the use of removable media on system components.,Control the use of removable media on system components.,"• NIST SP 800-171 Rev 1 3.8.7
• CIS Controls v7.1 13.7, 13.8
• NIST CSF v1.1 PR.PT-2
• CERT RMM v1.2 MON:SG2.SP4
• NIST SP 800-53 Rev 4 MP-7",,
CMMC v1.02 Maturity Level 2,PERSONNEL SECURITY (PS),C026: Screen personnel,PS.2.127,PS.2.127,PS.2.127: Screen individuals prior to authorizing access to organizational systems containing CUI.,Screen individuals prior to authorizing access to organizational systems containing CUI.,"• NIST SP 800-171 Rev 1 3.9.1
• CERT RMM v1.2 HRM:SG2.SP1
• NIST SP 800-53 Rev 4 PS-3",,
CMMC v1.02 Maturity Level 2,PERSONNEL SECURITY (PS),C027: Protect CUI during personnel actions,PS.2.128,PS.2.128,PS.2.128: Ensure that organizational systems containing CUI are protected during and after personnel actions such as terminations and transfers.,Ensure that organizational systems containing CUI are protected during and after personnel actions such as terminations and transfers.,"• NIST SP 800-171 Rev 1 3.9.2
• NIST CSF v1.1 PR.AC-1
• CERT RMM v1.2 HRM:SG4.SP2
• NIST SP 800-53 Rev 4 PS-4, PS-5",,
CMMC v1.02 Maturity Level 2,PHYSICAL PROTECTION (PE),C028: Limit physical access,PE.2.135,PE.2.135,PE.2.135: Protect and monitor the physical facility and support infrastructure for organizational systems.,Protect and monitor the physical facility and support infrastructure for organizational systems.,"• NIST SP 800-171 Rev 1 3.10.2
• NIST CSF v1.1 PR.AC-2
• CERT RMM v1.2 KIM:SG4.SP2
• NIST SP 800-53 Rev 4 PE-6",,
CMMC v1.02 Maturity Level 2,RECOVERY (RE),C029: Manage backups,RE.2.137,RE.2.137,RE.2.137: Regularly perform and test data backups.,Regularly perform and test data backups.,"• CIS Controls v7.1 10.1, 10.3
• NIST CSF v1.1 PR.IP-4
• CERT RMM v1.2 KIM:SG6.SP1
• NIST 800-53 Rev 4 CP-9
• AU ACSC Essential Eight",,
CMMC v1.02 Maturity Level 2,RECOVERY (RE),C029: Manage backups,RE.2.138,RE.2.138,RE.2.138: Protect the confidentiality of backup CUI at storage locations.,Protect the confidentiality of backup CUI at storage locations.,"• NIST SP 800-171 Rev 1 3.8.9
• CERT RMM v1.2 MON:SG2.SP4
• NIST 800-53 Rev 4 CP-9",,
CMMC v1.02 Maturity Level 2,RISK MANAGEMENT (RM),C031: Identify and evaluate risk,RM.2.141,RM.2.141,"RM.2.141: Periodically assess the risk to organizational operations (including mission, functions, image, or reputation), organizational assets, and individuals, resulting from the operation of organizational systems and the associated processing, storage, or transmission of CUI.","Periodically assess the risk to organizational operations (including mission, functions, image, or reputation), organizational assets, and individuals, resulting from the operation of organizational systems and the associated processing, storage, or transmission of CUI.","• NIST SP 800-171 Rev 1 3.11.1
• NIST CSF v1.1 ID.RA-1, ID.RA-4, DE.AE-4, RS.MI-3
• CERT RMM v1.2 RISK:SG4
• NIST SP 800-53 Rev 4 RA-3",,
CMMC v1.02 Maturity Level 2,RISK MANAGEMENT (RM),C031: Identify and evaluate risk,RM.2.142,RM.2.142,RM.2.142: Scan for vulnerabilities in organizational systems and applications periodically and when new vulnerabilities affecting those systems and applications are identified.,Scan for vulnerabilities in organizational systems and applications periodically and when new vulnerabilities affecting those systems and applications are identified.,"• NIST SP 800-171 Rev 1 3.11.2
• CIS Controls v7.1 3.1, 3.2
• NIST CSF v1.1 ID.RA-1
• CERT RMM v1.2 VAR:SG2.SP2
• NIST SP 800-53 Rev 4 RA-5",,
CMMC v1.02 Maturity Level 2,RISK MANAGEMENT (RM),C032: Manage risk,RM.2.143,RM.2.143,RM.2.143: Remediate vulnerabilities in accordance with risk assessments.,Remediate vulnerabilities in accordance with risk assessments.,"• NIST SP 800-171 Rev 1 3.11.3
• CIS Controls v7.1 3.7
• NIST CSF v1.1 RS.MI-3
• CERT RMM v1.2 VAR:SG3.SP1
• NIST SP 800-53 Rev 4 RA-5",,
CMMC v1.02 Maturity Level 2,SECURITY ASSESSMENT (CA),C034: Develop and manage a system security plan,CA.2.157,CA.2.157,"CA.2.157: Develop, document, and periodically update system security plans that describe system boundaries, system environments of operation, how security requirements are implemented, and the relationships with or connections to other systems.","Develop, document, and periodically update system security plans that describe system boundaries, system environments of operation, how security requirements are implemented, and the relationships with or connections to other systems.","• NIST SP 800-171 Rev 1 3.12.4
• NIST CSF v1.1 PR.IP-7
• NIST SP 800-53 Rev 4 PL-2",,
CMMC v1.02 Maturity Level 2,SECURITY ASSESSMENT (CA),C035: Define and manage controls,CA.2.158,CA.2.158,CA.2.158: Periodically assess the security controls in organizational systems to determine if the controls are effective in their application.,Periodically assess the security controls in organizational systems to determine if the controls are effective in their application.,"• NIST SP 800-171 Rev 1 3.12.1
• NIST CSF v1.1 DE.DP-3
• NIST SP 800-53 Rev 4 CA-2",,
CMMC v1.02 Maturity Level 2,SECURITY ASSESSMENT (CA),C035: Define and manage controls,CA.2.159,CA.2.159,CA.2.159: Develop and implement plans of action designed to correct deficiencies and reduce or eliminate vulnerabilities in organizational systems.,Develop and implement plans of action designed to correct deficiencies and reduce or eliminate vulnerabilities in organizational systems.,"• NIST SP 800-171 Rev 1 3.12.2
• CERT RMM v1.2 RISK:SG5.SP1
• NIST SP 800-53 Rev 4 CA-5",,
CMMC v1.02 Maturity Level 2,SYSTEM AND COMMUNICATIONS PROTECTION (SC),C038: Define security requirements for systems and communications,SC.2.178,SC.2.178,SC.2.178: Prohibit remote activation of collaborative computing devices and provide indication of devices in use to users present at the device.,Prohibit remote activation of collaborative computing devices and provide indication of devices in use to users present at the device.,"• NIST SP 800-171 Rev 1 3.13.12
• NIST CSF v1.1 PR.AC-3
• NIST SP 800-53 Rev 4 SC-15",,
CMMC v1.02 Maturity Level 2,SYSTEM AND COMMUNICATIONS PROTECTION (SC),C038: Define security requirements for systems and communications,SC.2.179,SC.2.179,SC.2.179: Use encrypted sessions for the management of network devices.,Use encrypted sessions for the management of network devices.,"• CMMC 
• CIS Controls v7.1 11.5",,
CMMC v1.02 Maturity Level 2,SYSTEM AND INFORMATION INTEGRITY (SI),C040: Identify and manage information system flaws,SI.2.214,SI.2.214,SI.2.214: Monitor system security alerts and advisories and take action in response.,Monitor system security alerts and advisories and take action in response.,"• NIST SP 800-171 Rev 1 3.14.3
• CIS Controls v7.1 6.5, 6.6
• NIST CSF v1.1 RS.AN-5
• CERT RMM v1.2 IMC:SG2.SP1
• NIST SP 800-53 Rev 4 SI-5",,
CMMC v1.02 Maturity Level 2,SYSTEM AND INFORMATION INTEGRITY (SI),C042: Perform network and system monitoring,SI.2.216,SI.2.216,"SI.2.216: Monitor organizational systems, including inbound and outbound communications traffic, to detect attacks and indicators of potential attacks.","Monitor organizational systems, including inbound and outbound communications traffic, to detect attacks and indicators of potential attacks.","• NIST SP 800-171 Rev 1 3.14.6
• CIS Controls v7.1 12.6
• NIST CSF v1.1 DE.CM-1
• CERT RMM v1.2 MON:SG1.SP3
• NIST SP 800-53 Rev 4 SI-4",,
CMMC v1.02 Maturity Level 2,SYSTEM AND INFORMATION INTEGRITY (SI),C042: Perform network and system monitoring,SI.2.217,SI.2.217,SI.2.217: Identify unauthorized use of organizational systems.,Identify unauthorized use of organizational systems.,"• NIST SP 800-171 Rev 1 3.14.7
• NIST CSF v1.1 DE.CM-1, DE.CM-7
• CERT RMM v1.2 MON:SG1.SP3
• NIST SP 800-53 Rev 4 SI-4",,
