Control Framework,Control Family,Control Class,Control Short Name,Control Long Name,Control Number,Requirements
Information Security Regulation Version 2.0,"Domain 6 - Operation, Systems and Communication Management",6.3 Protection against Malicious and Mobile Code,6.3.7,6.3.7,6.3.7,Establishes and maintains appropriate informative communication channels to obtain latest details of new malicious code
Information Security Regulation Version 2.0,"Domain 6 - Operation, Systems and Communication Management",6.3 Protection against Malicious and Mobile Code,6.3.8,6.3.8,6.3.8,Develops and implements proper continuity plans/procedures for recovery from malicious code attacks
Information Security Regulation Version 2.0,"Domain 6 - Operation, Systems and Communication Management",6.3 Protection against Malicious and Mobile Code,6.3.9,6.3.9,6.3.9,Defines the acceptable and unacceptable mobile code technologies
Information Security Regulation Version 2.0,"Domain 6 - Operation, Systems and Communication Management",6.3 Protection against Malicious and Mobile Code,6.3.10,6.3.10,6.3.10,Establishes formal usage restrictions and implementation guides for the acceptable mobile code technologies
Information Security Regulation Version 2.0,"Domain 6 - Operation, Systems and Communication Management",6.3 Protection against Malicious and Mobile Code,6.3.11,6.3.11,6.3.11,"Enforces formal authorization, monitoring and control over the use of mobile code technologies"
Information Security Regulation Version 2.0,"Domain 6 - Operation, Systems and Communication Management",6.4 Network Security,6.4.1,6.4.1,6.4.1,Implements formal process for its network services to govern the interconnections between its network and critical owned business information systems and other networks etc.
Information Security Regulation Version 2.0,"Domain 6 - Operation, Systems and Communication Management",6.4 Network Security,6.4.2,6.4.2,6.4.2,"Develops and implements network service agreements and ensures that all required security controls, service levels, and management requirements are addressed"
Information Security Regulation Version 2.0,"Domain 6 - Operation, Systems and Communication Management",6.4 Network Security,6.4.3,6.4.3,6.4.3,Enables clock synchronization on all networking devices and continuously monitor its accuracy
Information Security Regulation Version 2.0,"Domain 6 - Operation, Systems and Communication Management",6.4 Network Security,6.4.4,6.4.4,6.4.4,Monitors the information system connections continuously and always verifies enforcement of security requirements
Information Security Regulation Version 2.0,"Domain 6 - Operation, Systems and Communication Management",6.4 Network Security,6.4.5,6.4.5,6.4.5,Implements secure network routing controls
Information Security Regulation Version 2.0,"Domain 6 - Operation, Systems and Communication Management",6.4 Network Security,6.4.6,6.4.6,6.4.6,"Implements adequate protection level for the confidentiality, integrity & availability of transmitted information & prevent unauthorized access of information or data in transit.(Within entity or external network)"
Information Security Regulation Version 2.0,"Domain 6 - Operation, Systems and Communication Management",6.4 Network Security,6.4.7,6.4.7,6.4.7,Terminates network connections associated with communication sessions as per the entity defined time period of inactivity
Information Security Regulation Version 2.0,"Domain 6 - Operation, Systems and Communication Management",6.4 Network Security,6.5.8,6.5.8,6.5.8,Implement measures to ensure adequate/high level of network availability
Information Security Regulation Version 2.0,"Domain 6 - Operation, Systems and Communication Management",6.4 Network Security,6.5.9,6.5.9,6.5.9,"Configures the network traffic devices on a need basis, with maintaining logs of all changes as per the entity's change management policy"
Information Security Regulation Version 2.0,"Domain 6 - Operation, Systems and Communication Management",6.4 Network Security,6.5.10,6.5.10,6.5.10,"Develops and maintains full documentation of the network devices, connections, and IP configuration while ensuring protection and controls on the documents"
Information Security Regulation Version 2.0,"Domain 6 - Operation, Systems and Communication Management",6.4 Network Security,6.5.11,6.5.11,6.5.11,Applies appropriate logging and monitoring procedures to enable recording of network security activities
Information Security Regulation Version 2.0,"Domain 6 - Operation, Systems and Communication Management",6.5 Information Exchange Management,6.5.1 Information Exchange,6.5.1 Information Exchange,6.5.1,"a. Develops, distributes and maintains formal policy and procedures governing the exchange of information internally  or externally , in line with the classification level in all type of communication channels based on criticality of information & in line with relevant laws & regulation.
b. Develops and maintains formal information exchange agreements for the exchange of any government related information between the entity and any external party
c. Applies adequate security controls specifically for transmitted physical media containing information such as labelling, liability, etc."
Information Security Regulation Version 2.0,"Domain 6 - Operation, Systems and Communication Management",6.6 Electronic Messaging/Emails,6.6.1,6.6.1,6.6.1,"Develops, distributes and maintains a formal electronic communication policy that governs the use of all electronic messaging/email tools provided to the users, outlining the risks associated with it"
Information Security Regulation Version 2.0,"Domain 6 - Operation, Systems and Communication Management",6.6 Electronic Messaging/Emails,6.6.2,6.6.2,6.6.2,"Implements mechanisms to ensure confidentiality, integrity and appropriate availability of electronic messaging/emails"
Information Security Regulation Version 2.0,"Domain 6 - Operation, Systems and Communication Management",6.6 Electronic Messaging/Emails,6.6.3,6.6.3,6.6.3,Deploys a process of stamping a mandatory disclaimer for electronic messaging/emails
Information Security Regulation Version 2.0,"Domain 6 - Operation, Systems and Communication Management",6.6 Electronic Messaging/Emails,6.6.4,6.6.4,6.6.4,Deploys an archival and retention policy for electronic messaging/emails
Information Security Regulation Version 2.0,"Domain 6 - Operation, Systems and Communication Management",6.6 Electronic Messaging/Emails,6.6.5,6.6.5,6.6.5,Deploys advanced authentication mechanisms for access to electronic messaging/emails from non-trusted networks and public networks
Information Security Regulation Version 2.0,"Domain 6 - Operation, Systems and Communication Management",6.6 Electronic Messaging/Emails,6.6.6,6.6.6,6.6.6,Deploys non-repudiation supporting advanced encryption mechanisms (e.g. digital signatures) while exchanging critical and sensitive government information
Information Security Regulation Version 2.0,"Domain 6 - Operation, Systems and Communication Management",6.7 Online Transactions and Public Information Management,6.7.1 Online Transactions Controls,6.7.1 Online Transactions Controls,6.7.1,"a. Implements adequate confidentiality, integrity and availability controls over any online transactional information/services
b. Develops and implements the required agreements with any involved party in managing the online transactions services, and ensures the inclusion of trading terms, details of authorization, liabilities, etc"
Information Security Regulation Version 2.0,"Domain 6 - Operation, Systems and Communication Management",6.7 Online Transactions and Public Information Management,6.7.2 Public Information,6.7.2 Public Information,6.7.2,"a. Protects the integrity of public information that is available on publicly accessible channels or systems, using  appropriate authentication and access controls, based on  business requirements and applicable legal obligations
b. Ensures compliance of information published by employees on behalf of the government entity with applicable laws, rules and regulations and approves the publication by an authorized management body within Dubai Government Entity"
Information Security Regulation Version 2.0,"Domain 6 - Operation, Systems and Communication Management",6.8 Media Handling Management,6.8.1,6.8.1,6.8.1,"Implements adequate security and protection procedures for any type of media containing information, in terms of handling, storage, disposal, etc"
Information Security Regulation Version 2.0,"Domain 6 - Operation, Systems and Communication Management",6.9 Monitoring and Logs Management,6.9.1,6.9.1,6.9.1,"Enables audits logs for all information processing systems/applications, and periodically reviews such logs and ensures applying adequate retention measures over them"
Information Security Regulation Version 2.0,"Domain 6 - Operation, Systems and Communication Management",6.9 Monitoring and Logs Management,6.9.2,6.9.2,6.9.2,Sets adequate monitoring requirements for all information systems/applications based on criticality of the systems
Information Security Regulation Version 2.0,"Domain 6 - Operation, Systems and Communication Management",6.9 Monitoring and Logs Management,6.9.3,6.9.3,6.9.3,"Logs system administrators and operators activities and ensures reviewing them periodically, by an independent unit"
Information Security Regulation Version 2.0,"Domain 6 - Operation, Systems and Communication Management",6.9 Monitoring and Logs Management,6.9.4,6.9.4,6.9.4,"Enables faults logging on all system levels including network, applications, servers and databases among others"
Information Security Regulation Version 2.0,"Domain 6 - Operation, Systems and Communication Management",6.9 Monitoring and Logs Management,6.9.5,6.9.5,6.9.5,Deploys adequate logs analysis mechanism and places appropriate actions on faults
Information Security Regulation Version 2.0,"Domain 6 - Operation, Systems and Communication Management",6.9 Monitoring and Logs Management,6.9.6,6.9.6,6.9.6,"Secures, where appropriate, logging systems and log files against unauthorized changes including alterations, deletions, and renaming of log file contents, dates and time stamps"
Information Security Regulation Version 2.0,"Domain 6 - Operation, Systems and Communication Management",6.9 Monitoring and Logs Management,6.9.7,6.9.7,6.9.7,Sets an appropriate life time for maintaining the logging information
Information Security Regulation Version 2.0,"Domain 6 - Operation, Systems and Communication Management",6.9 Monitoring and Logs Management,6.9.8,6.9.8,6.9.8,Enables clock synchronization over all information processing systems/applications with accurate time source
Information Security Regulation Version 2.0,Domain 7 - Business Continuity Planning,7.1 Business Impact Analysis,7.1.1,7.1.1,7.1.1,Develops and periodically conducts a business impact analysis for all critical business process & information systems in order to define and determine the impact of potential operational failures
Information Security Regulation Version 2.0,Domain 7 - Business Continuity Planning,7.1 Business Impact Analysis,7.1.2,7.1.2,7.1.2,"Sets and accounts the responsibility of the Business Impact Analysis to the senior management, with involvement from all affected divisions"
Information Security Regulation Version 2.0,Domain 7 - Business Continuity Planning,7.2 Business Continuity Plan,7.2.1,7.2.1,7.2.1,"Organizes and accounts responsible a committee of senior management and business owners for the business continuity plan, with defined and clear responsibilities"
Information Security Regulation Version 2.0,Domain 7 - Business Continuity Planning,7.2 Business Continuity Plan,7.2.2,7.2.2,7.2.2,"Develops, maintains and periodically tests and reassesses a business continuity plan that covers:
A-The plan should be based on the Business Impact Analysis and Risk Assessment. 
B-The plan should address requirements for resilience, alternative processing and recovery capability of all critical business and IT services. 
C-The plan should cover usage guidelines, roles and responsibilities, procedures, communication processes, and the testing approach"
Information Security Regulation Version 2.0,Domain 7 - Business Continuity Planning,7.2 Business Continuity Plan,7.2.3,7.2.3,7.2.3,Designs a business continuity process in a manner to reduce the impact of a major disruption on key business functions and processes
Information Security Regulation Version 2.0,Domain 7 - Business Continuity Planning,7.3 Disasters Recovery,7.3.1,7.3.1,7.3.1,Identifies the most critical business systems and applications in accordance with the risk assessment conducted by the entity
Information Security Regulation Version 2.0,Domain 7 - Business Continuity Planning,7.3 Disasters Recovery,7.3.2,7.3.2,7.3.2,"Deploys a proper recovery plan for the identified critical business systems, as the entity's operations specify"
Information Security Regulation Version 2.0,Domain 7 - Business Continuity Planning,7.3 Disasters Recovery,7.3.3,7.3.3,7.3.3,Determines the type of recovery scheme that is applicable for its requirement
Information Security Regulation Version 2.0,Domain 7 - Business Continuity Planning,7.3 Disasters Recovery,7.3.4,7.3.4,7.3.4,Exercises and periodically tests the decided recovery plan
Information Security Regulation Version 2.0,Domain 7 - Business Continuity Planning,7.3 Disasters Recovery,7.3.5,7.3.5,7.3.5,"Implements disaster recovery sites in case their business systems result in a major loss for the whole government, through using an effective approach based on feasibility studies"
Information Security Regulation Version 2.0,Domain 7 - Business Continuity Planning,7.4 Backup and Storage Strategies,7.4.1 Backup and Storage Policy and Procedure,7.4.1 Backup and Storage Policy and Procedure,7.4.1,"a. Develops, distributes and maintains a formal documented backup, storage and retention policy that includes users' responsibilities , protection controls, legal and business related backup and recovery requirements etc.
b. Supplements, as necessary, the backup policy with a detailed procedure for backup and storage specifications and implements them"
Information Security Regulation Version 2.0,Domain 7 - Business Continuity Planning,7.4 Backup and Storage Strategies,7.4.2 Media Library and Resources Protection,7.4.2 Media Library and Resources Protection,7.4.2,"a. Develops, distributes and maintains a formal documented policy and procedure on media library protection
b. Restricts and continuously monitors access to media libraries and storage resources
c. Marks clearly all media and storage resources, indicating distribution lists, handling controls, and the application asset's security classification as per policy
d. Allocates proper locations, with adequate security and environmental measures and controls for the storage of the backup media, whether onsite/offsite
e. Sets security agreements and proper security protection controls in case an external party is involved in handling the media library for the entity
f. Protects and controls all physical media while being in a transit process
g. Encrypts backups and archives where technically feasible and appropriate
h. Maintains accountability for media in transit outside the entity control areas and restricts to authorized personnel
i. Wipes and sanitizes all backup media prior to disposal or reuse"
Information Security Regulation Version 2.0,Domain 7 - Business Continuity Planning,7.4 Backup and Storage Strategies,7.4.3 Backup Testing Restoration,7.4.3 Backup Testing Restoration,7.4.3,Plans and executes a periodic testing and restoration process of all backup and storage media
Information Security Regulation Version 2.0,Domain 7 - Business Continuity Planning,7.5 BCP Test and Review,7.5.1,7.5.1,7.5.1,"Maintains, exercises and tests in a periodic manner the Business Continuity Plan, Business Impact Analysis, Backup and Restoration, and Disaster Recovery Plan"
Information Security Regulation Version 2.0,"Domain 8 - Information Systems Acquisition, Development and Management","8.1 Information Systems Acquisition, Development and Management Policy & Procedure",8.1.1,8.1.1,8.1.1,"Develops, distributes and maintains a formal documented policy and procedures for addressing the entity’s security requirements on any in house developed or external party applications including Mobile applications."
Information Security Regulation Version 2.0,"Domain 8 - Information Systems Acquisition, Development and Management","8.1 Information Systems Acquisition, Development and Management Policy & Procedure",8.1.2.1,8.1.2.1,8.1.2.1,"Develops an Application or Software Development Life Cycle (SDLC) methodology incorporating adequate security controls at all phases of the software development life cycle, while considering the defined security requirements (e.g. functional, technical, assurance etc.) at each software development stage."
Information Security Regulation Version 2.0,"Domain 8 - Information Systems Acquisition, Development and Management","8.1 Information Systems Acquisition, Development and Management Policy & Procedure",8.1.2.2,8.1.2.2,8.1.2.2,"Defines, distributes and maintains a formal procedure for secure deployment, distribution, provisioning and decommissioning of portable computing device applications, application interfaces (APIs) (including third party components), through regular updates / checks to ensure adequate level of security."
Information Security Regulation Version 2.0,"Domain 8 - Information Systems Acquisition, Development and Management",8.2 Information Systems Security Requirements and Specifications,8.2.1,8.2.1,8.2.1,"Defines and documents information security requirements in all business cases, requests for proposals and work requests, for acquired or in house developed information  systems"
Information Security Regulation Version 2.0,"Domain 8 - Information Systems Acquisition, Development and Management",8.2 Information Systems Security Requirements and Specifications,8.2.2,8.2.2,8.2.2,Develops and approves the information systems design documents addressing the security requirements
Information Security Regulation Version 2.0,"Domain 8 - Information Systems Acquisition, Development and Management",8.2 Information Systems Security Requirements and Specifications,8.2.3,8.2.3,8.2.3,Develops the secure coding standards for information systems software/ Mobile application / Web application development
Information Security Regulation Version 2.0,"Domain 8 - Information Systems Acquisition, Development and Management",8.2 Information Systems Security Requirements and Specifications,8.2.4,8.2.4,8.2.4,"Designs the security architecture for the development & deployment of information systems including network security, transmission security etc."
Information Security Regulation Version 2.0,"Domain 8 - Information Systems Acquisition, Development and Management",8.2 Information Systems Security Requirements and Specifications,8.2.5,8.2.5,8.2.5,"Implements adequate configuration management process during information systems design, development, implementation and operation"
Information Security Regulation Version 2.0,"Domain 8 - Information Systems Acquisition, Development and Management",8.3 Secure and Correct processing of Information Systems,8.3.1,8.3.1,8.3.1,Conducts proper testing to validate integrity of data input controls on information systems/applications
Information Security Regulation Version 2.0,"Domain 8 - Information Systems Acquisition, Development and Management",8.3 Secure and Correct processing of Information Systems,8.3.2,8.3.2,8.3.2,Integrates validation checks into information systems/applications processing to detect and any loss of integrity in processed information
Information Security Regulation Version 2.0,"Domain 8 - Information Systems Acquisition, Development and Management",8.3 Secure and Correct processing of Information Systems,8.3.3,8.3.3,8.3.3,Identifies integrity requirements for processed messages  in information insystems/applications and ensures implementing adequate controls to protect it
Information Security Regulation Version 2.0,"Domain 8 - Information Systems Acquisition, Development and Management",8.3 Secure and Correct processing of Information Systems,8.3.4,8.3.4,8.3.4,Conducts proper testing to validate integrity of data output from information systems/applications
Information Security Regulation Version 2.0,"Domain 8 - Information Systems Acquisition, Development and Management","8.4 Securing Information Systems Files, Source Codes and Data",8.4.1,8.4.1,8.4.1,Implements restrictive information system procedures on the installation & maintenance of software in the operational information systems environments
Information Security Regulation Version 2.0,"Domain 8 - Information Systems Acquisition, Development and Management","8.4 Securing Information Systems Files, Source Codes and Data",8.4.2,8.4.2,8.4.2,Implements proper protection controls on the use of testing data
Information Security Regulation Version 2.0,"Domain 8 - Information Systems Acquisition, Development and Management","8.4 Securing Information Systems Files, Source Codes and Data",8.4.3,8.4.3,8.4.3,Implements proper access control procedures on information systems/application source codes
Information Security Regulation Version 2.0,"Domain 8 - Information Systems Acquisition, Development and Management",8.5 Managing Changes in Software Development,8.5.1,8.5.1,8.5.1," Implements proper change management controls on the software development processes, whether performed in-house or outsourced."
Information Security Regulation Version 2.0,"Domain 8 - Information Systems Acquisition, Development and Management",8.5 Managing Changes in Software Development,8.5.2,8.5.2,8.5.2,Tests and verifies the operational status of all information systems/applications after implementing any change
Information Security Regulation Version 2.0,"Domain 8 - Information Systems Acquisition, Development and Management",8.5 Managing Changes in Software Development,8.5.3,8.5.3,8.5.3,Implements proper controls to limit the risk of changes to software packages
Information Security Regulation Version 2.0,"Domain 8 - Information Systems Acquisition, Development and Management",8.5 Managing Changes in Software Development,8.5.4,8.5.4,8.5.4,Implements proper controls to prevent information leakage in all information system/application environments
Information Security Regulation Version 2.0,"Domain 8 - Information Systems Acquisition, Development and Management",8.5 Managing Changes in Software Development,8.5.5,8.5.5,8.5.5,"Implements proper security controls on outsourced software /application development covering all the stages of the project including source code management, application maintenance etc."
Information Security Regulation Version 2.0,"Domain 8 - Information Systems Acquisition, Development and Management",8.6 Security Testing,8.6.1,8.6.1,8.6.1,Performs technical security reviews and vulnerability tests  inorder to peridically assess technical infrastructure & information systems  against latest threats and vulnerabilities
Information Security Regulation Version 2.0,"Domain 8 - Information Systems Acquisition, Development and Management",8.6 Security Testing,8.6.2,8.6.2,8.6.2,Conducts periodic code reviews on all information systems/applications developed in house or by an external party
Information Security Regulation Version 2.0,"Domain 8 - Information Systems Acquisition, Development and Management",8 .7 Deployment of Information Systems / Applications,8.7.1,8.7.1,8.7.1,Deploys the information systems/ applications into production environment after successful completion of testing & fixing of defects identified
Information Security Regulation Version 2.0,"Domain 8 - Information Systems Acquisition, Development and Management",8 .7 Deployment of Information Systems / Applications,8.7.2,8.7.2,8.7.2,Implements security sign off process to confirm the proper implementation of security controls on all information systems/applications prior to deployment
Information Security Regulation Version 2.0,"Domain 8 - Information Systems Acquisition, Development and Management",8.8 Cryptography Controls,8.8.1,8.8.1,8.8.1,"Develops, distributes and maintains a policy on the use of cryptography and key management wherever applicable"
Information Security Regulation Version 2.0,"Domain 8 - Information Systems Acquisition, Development and Management",8.8 Cryptography Controls,8.8.2,8.8.2,8.8.2,Implements proper cryptography and key management mechanisms as required by the entity
Information Security Regulation Version 2.0,"Domain 8 - Information Systems Acquisition, Development and Management",8.8 Cryptography Controls,8.8.3,8.8.3,8.8.3,Implements proper protection and security controls on all cryptographic keys used by the entity
Information Security Regulation Version 2.0,Domain 9 - Environmental and Physical Security,9.1 Environmental/Physical Threats Protection Policy and Procedure,9.1.1,9.1.1,9.1.1,"Develops, distributes, and maintains a formal,  policy that addresses the entity's requirements for placing environmental protection controls"
Information Security Regulation Version 2.0,Domain 9 - Environmental and Physical Security,9.1 Environmental/Physical Threats Protection Policy and Procedure,9.1.2,9.1.2,9.1.2,Supplements the environmental threats protection policy with a formal  procedure to facilitate implementation of the environmental threats protection policy
Information Security Regulation Version 2.0,Domain 9 - Environmental and Physical Security,9.2 Protection From Environmental Threats,9.2.1,9.2.1,9.2.1,"Implements adequate protection controls against environmental threats, such as fire, floods, earthquakes, etc"
Information Security Regulation Version 2.0,Domain 9 - Environmental and Physical Security,9.2 Protection From Environmental Threats,9.2.2,9.2.2,9.2.2,"Controls humidity and temperature level on information processing facilities, and continuously monitors it"
Information Security Regulation Version 2.0,Domain 9 - Environmental and Physical Security,9.2 Protection From Environmental Threats,9.2.3,9.2.3,9.2.3,Implements proper fire suppression and detection systems
Information Security Regulation Version 2.0,Domain 9 - Environmental and Physical Security,9.2 Protection From Environmental Threats,9.2.4,9.2.4,9.2.4,Implements proper control for monitoring water leakage at the physical information processing facilities
Information Security Regulation Version 2.0,Domain 9 - Environmental and Physical Security,9.3 Secure Working Areas,9.3.1,9.3.1,9.3.1,"Implements adequate physical security mechanisms on offices, data centres, and other working areas, based on criticality of such areas"
Information Security Regulation Version 2.0,Domain 9 - Environmental and Physical Security,9.3 Secure Working Areas,9.3.2,9.3.2,9.3.2,Provides employees with proper guidelines and awareness on the implemented protection controls in the working areas
Information Security Regulation Version 2.0,Domain 9 - Environmental and Physical Security,9.3 Secure Working Areas,9.3.3,9.3.3,9.3.3,"Develops, distributes and maintains a clear desk and clear screen policy that addresses users' responsibilities on securing desks, working areas, and electronic user devices "
Information Security Regulation Version 2.0,Domain 9 - Environmental and Physical Security,9.3 Secure Working Areas,9.3.4,9.3.4,9.3.4,Implements proper security controls over delivery and loading areas
Information Security Regulation Version 2.0,Domain 9 - Environmental and Physical Security,9.4 Securing Equipment,9.4.1,9.4.1,9.4.1,Places information systems related equipment in secure and protected locations
Information Security Regulation Version 2.0,Domain 9 - Environmental and Physical Security,9.4 Securing Equipment,9.4.2,9.4.2,9.4.2,Protects power equipment and cabling of information processing facilities from damages
Information Security Regulation Version 2.0,Domain 9 - Environmental and Physical Security,9.4 Securing Equipment,9.4.3,9.4.3,9.4.3,Implements UPS (uninterruptable power supply) systems to avoid power failures where deemed necessary
Information Security Regulation Version 2.0,Domain 9 - Environmental and Physical Security,9.4 Securing Equipment,9.4.4,9.4.4,9.4.4,Implements proper maintenance procedures on all information processing facilities
Information Security Regulation Version 2.0,Domain 9 - Environmental and Physical Security,9.4 Securing Equipment,9.4.5,9.4.5,9.4.5,"Implements proper protection controls over equipment and information processing facilities residing off site including its movement, storage and handling."
Information Security Regulation Version 2.0,Domain 9 - Environmental and Physical Security,9.4 Securing Equipment,9.4.6,9.4.6,9.4.6, Implements adequate security controls on the disposal or re-use of any equipment or information processing facility
Information Security Regulation Version 2.0,Domain 9 - Environmental and Physical Security,9.5 Periodic Testing,9.5.1,9.5.1,9.5.1,Conducts proper testing and assessment periodically over all implemented environmental and physical protection controls
Information Security Regulation Version 2.0,Domain 10 - Roles and Responsibilities of Human Resources,10.1 Prior to Employment Security Controls,10.1.1,10.1.1,10.1.1,"Defines security roles and responsibilities of employees, contractors and outsourced employees in line with Security policy"
Information Security Regulation Version 2.0,Domain 10 - Roles and Responsibilities of Human Resources,10.1 Prior to Employment Security Controls,10.1.2,10.1.2,10.1.2,"Documents security roles and responsibilities in the job descriptions and objectives of all employees, contractors and outsourced employees"
Information Security Regulation Version 2.0,Domain 10 - Roles and Responsibilities of Human Resources,10.1 Prior to Employment Security Controls,10.1.3,10.1.3,10.1.3,Conducts proper screening and background verification for all employment candidates according to the applicable laws and policies of Dubai Government
Information Security Regulation Version 2.0,Domain 10 - Roles and Responsibilities of Human Resources,10.1 Prior to Employment Security Controls,10.1.4,10.1.4,10.1.4,"Ensures that all employment contracts define security obligations of employees, contractors and outsourced employees, and that approved candidates read and agree such obligations"
Information Security Regulation Version 2.0,Domain 10 - Roles and Responsibilities of Human Resources,10.1 Prior to Employment Security Controls,10.1.5,10.1.5,10.1.5,"Incorporates Information Security Awareness as part of induction programs of newly hired employees, contractors and outsourced employees"
Information Security Regulation Version 2.0,Domain 10 - Roles and Responsibilities of Human Resources,10.2 During Employment Security Controls,10.2.1,10.2.1,10.2.1,"Accounts the senior management responsible for enforcing compliance of their employees,3rd parties to the entity information security policies and procedures"
Information Security Regulation Version 2.0,Domain 10 - Roles and Responsibilities of Human Resources,10.2 During Employment Security Controls,10.2.2,10.2.2,10.2.2,"Sets a clear and defined disciplinary action for employees,  3rd parties who may breach information security policies and procedures."
Information Security Regulation Version 2.0,Domain 10 - Roles and Responsibilities of Human Resources,10.2 During Employment Security Controls,10.2.3,10.2.3,10.2.3,"Ensures that all employees, contractors and outsourced employees are provided with information security awareness programs on a regular basis"
Information Security Regulation Version 2.0,Domain 10 - Roles and Responsibilities of Human Resources,10.3 Termination/Change of Employment Security controls,10.3.1,10.3.1,10.3.1,Implements proper security controls on the process of terminating or changing employment
Information Security Regulation Version 2.0,Domain 10 - Roles and Responsibilities of Human Resources,10.3 Termination/Change of Employment Security controls,10.3.2,10.3.2,10.3.2,Communicates termination responsibilities to the terminated employee in relation to confidentiality agreements and employment contracts
Information Security Regulation Version 2.0,Domain 10 - Roles and Responsibilities of Human Resources,10.3 Termination/Change of Employment Security controls,10.3.3,10.3.3,10.3.3, Implements a process for returning all entity's assets upon termination of employment
Information Security Regulation Version 2.0,Domain 10 - Roles and Responsibilities of Human Resources,10.3 Termination/Change of Employment Security controls,10.3.4,10.3.4,10.3.4,Implements a process for revoking or changing access rights and privileges upon termination or change of employment
Information Security Regulation Version 2.0,Domain 11 - Compliance and Audit,11.1 Compliance with Federal and Local Government Legal Requirements,11.1.1,11.1.1,11.1.1,"Ensures compliance with the following laws and regulations:
A.Federal Law No. 1 of Year 2006 on Electronic Commerce and Transactions. 
B.Federal Law No. 2 Year 2006 on the Prevention of Information Technology Crimes. 
C.Transactions and electronic commerce Law No. 2 issued in Year 2002 by Dubai Government. 
D.The Executive Council of Dubai Government Resolution Number (13) issued in Year 2012 for Information Security Regulation. 
E.The Government of Dubai Human Resources Management Law No. (27) of 2006 and its amendment 
F.Dubai Electronic Security Center Law No.11 of 2014
G. Law No.26 of 2015 Regulating Data Dissemination and Exchange in the Emirate of Dubai.
H. Any other laws pertaining to information security."
Information Security Regulation Version 2.0,Domain 11 - Compliance and Audit,11.2 Compliance Controls,11.2.1,11.2.1,11.2.1, Identifies the laws or regulations that are applicable to the entity’s scope of services
Information Security Regulation Version 2.0,Domain 11 - Compliance and Audit,11.2 Compliance Controls,11.2.2,11.2.2,11.2.2,"Develops, distributes and maintains a formal Intellectual Property Rights (IPR) policy that defines the legal obligations pertaining to the use of information assets"
Information Security Regulation Version 2.0,Domain 11 - Compliance and Audit,11.2 Compliance Controls,11.2.3,11.2.3,11.2.3,Ensures compliance with Intellectual Property Rights (e.g. software license agreements).
Information Security Regulation Version 2.0,Domain 11 - Compliance and Audit,11.2 Compliance Controls,11.2.4,11.2.4,11.2.4,"Prohibits employees from manipulating, making or distributing unauthorized copies of copyrighted/licensed materials, software or applications"
Information Security Regulation Version 2.0,Domain 11 - Compliance and Audit,11.2 Compliance Controls,11.2.5,11.2.5,11.2.5,"Implements proper protection controls for the storage, retention and disposal of entity’s information assets and records"
Information Security Regulation Version 2.0,Domain 11 - Compliance and Audit,11.3 Protection of Private Information of Individuals and Corporates,11.3.1,11.3.1,11.3.1," Develops, distributes and maintains a privacy policy that addresses the legal requirements for the prevention of misuse of personal information of the entity's customers "
Information Security Regulation Version 2.0,Domain 11 - Compliance and Audit,11.3 Protection of Private Information of Individuals and Corporates,11.3.2,11.3.2,11.3.2,"Develops, distributes and maintains a formal procedure detailing the protection measures required for the processing of private data and information"
Information Security Regulation Version 2.0,Domain 11 - Compliance and Audit,11.3 Protection of Private Information of Individuals and Corporates,11.3.3,11.3.3,11.3.3,Conducts continuous awareness sessions on the requirements of protecting private data and information for the responsible personnel
Information Security Regulation Version 2.0,Domain 11 - Compliance and Audit,11.3 Protection of Private Information of Individuals and Corporates,11.3.4,11.3.4,11.3.4,"Restricts, minimizes and monitors access to personal and private data, and applies proper controls, which should be on ""a need-to-know"" basis"
Information Security Regulation Version 2.0,Domain 11 - Compliance and Audit,11.3 Protection of Private Information of Individuals and Corporates,11.3.5,11.3.5,11.3.5,Sets proper accountability procedures in the event of any private information and personal data leakage
Information Security Regulation Version 2.0,Domain 11 - Compliance and Audit,11.4 Compliance with Information Security Policies and Standards,11.4.1,11.4.1,11.4.1,Conducts periodic reviews to verify compliance of the implemented information security policies and procedures
Information Security Regulation Version 2.0,Domain 11 - Compliance and Audit,11.4 Compliance with Information Security Policies and Standards,11.4.2,11.4.2,11.4.2,Conducts periodic technical reviews on information systems to verify compliance of the security standards
Information Security Regulation Version 2.0,Domain 11 - Compliance and Audit,11.5 Audit of Information Security Regulation Implementation,11.5.1,11.5.1,11.5.1, Plans & Conducts internal periodic audits  to verify & report  effectiveness of the implementation of Information Security Regulation.
Information Security Regulation Version 2.0,Domain 12 – Information Security Assurance and Performance Assessment,12.1 Information Security Key Performance Indicators,12.1.1,12.1.1,12.1.1,"Develops, selects and implements a set of Information Security Key Performance Indicators (KPIs) that are: 
A.In support of the government entity strategic and operational planning processes.
B.Integrated into the annual reporting  
C.Defined to assist in monitoring compliance with the Information Security Regulation. 
D.Reviewed regularly and as an assessment of information security program posture and operational risks. 
E.Used to address issues and deficiencies and take corrective actions  
F.Built from inputs of a variety of entity's stakeholders and continuous monitoring. 
G.Yielding quantifiable information for comparison purposes  H.Measured over consistent and repeatable information security processes."
Information Security Regulation Version 2.0,Domain 12 – Information Security Assurance and Performance Assessment,12.1 Information Security Key Performance Indicators,12.1.2,12.1.2,12.1.2,Integrates information security measurements and Key Performance Indicators(KPIs) in entity’s business processes and process owners achieve such measures
